"exp","ver","sub","exp_initials","blocktype","trial","trialtime","trialtype","t1_level","t2_level","lag","t2_lag","targets","cuetype","mode","t1","t1_corr","t1_resp","t1_acc","t1_rt","t1_dur","t2","t2_corr","t2_resp","t2_acc","t2_rt","t2_dur","distractor1","distractor2","maskfile1","maskfile2","t1mask_soa","t2mask_soa","t1t2_soa"
"RSVPLG03","1.0.1",701,"km","Practice",5,"20251014-094136","main","local","global",750,750,"T1",1,"Automatic","S","sS","s",1,0.686887900112197,0.0497695999220014,"S","sS","none",-5,0,0.0493734998162836,"A","E","mask-3.png","mask-2.png",0.0995889999903738,0.100313099799678,0.748929199995473
"RSVPLG03","1.0.1",701,"km","Practice",6,"20251014-094141","main","global","global",300,300,"T1",1,"Automatic","S","sS","s",1,0.494988300139084,0.048953799996525,"H","hH","none",-5,0,0.0499077998101711,"E","E","mask-2.png","mask-4.png",0.0987720000557602,0.100853399839252,0.297662200173363
"RSVPLG03","1.0.1",701,"km","Practice",7,"20251014-094145","main","global","global",750,750,"T1",1,"Automatic","H","hH","h",1,0.359260299941525,0.0496779999230057,"S","sS","none",-5,0,0.0476085001137108,"E","A","mask-4.png","mask-2.png",0.0996962999925017,0.0989433999639004,0.748349800007418
"RSVPLG03","1.0.1",701,"km","Practice",8,"20251014-094149","main","local","global",750,750,"T1",1,"Automatic","S","sS","s",1,0.524483700050041,0.048873099964112,"H","hH","none",-5,0,0.0487494000699371,"A","A","mask-2.png","mask-4.png",0.0990446999203414,0.0989264999516308,0.747252200031653
"RSVPLG03","1.0.1",701,"km","Practice",9,"20251014-094154","main","global","local",300,300,"T1",1,"Automatic","H","hH","h",1,0.625655499985442,0.0491044002119452,"S","sS","none",-5,0,0.0476375999860466,"A","A","mask-2.png","mask-3.png",0.0995677001774311,0.0980058000423014,0.299897100077942
"RSVPLG03","1.0.1",701,"km","Practice",10,"20251014-094158","main","local","local",300,300,"T1",1,"Automatic","H","hH","s",0,2.52792730019428,0.0506759001873434,"H","hH","none",-5,0,0.0488426999654621,"E","A","mask-2.png","mask-2.png",0.0988080000970513,0.0990619999356568,0.298390800133348
"RSVPLG03","1.0.1",701,"km","Practice",11,"20251014-094204","main","global","local",300,300,"T1",1,"Automatic","H","hH","h",1,0.607638499932364,0.0510328998789191,"H","hH","none",-5,0,0.04911999986507,"E","E","mask-3.png","mask-3.png",0.100164899835363,0.0996890999376774,0.298509099986404
"RSVPLG03","1.0.1",701,"km","Practice",12,"20251014-094208","main","local","global",300,300,"T1",1,"Automatic","S","sS","h",0,0.824236799962819,0.0497053998988122,"S","sS","none",-5,0,0.0501065000426024,"A","A","mask-2.png","mask-1.png",0.099716299911961,0.099451299989596,0.299134799977764
"RSVPLG03","1.0.1",701,"km","Practice",13,"20251014-094212","main","local","local",750,750,"T1",1,"Automatic","S","sS","s",1,0.906309900106862,0.0503125998657197,"S","sS","none",-5,0,0.0495804001111537,"A","A","mask-3.png","mask-4.png",0.100428299978375,0.0997315999120474,0.747357599902898
"RSVPLG03","1.0.1",701,"km","Practice",14,"20251014-094217","main","global","local",750,750,"T1",1,"Automatic","S","sS","s",1,0.357323599979281,0.0509268001187593,"S","sS","none",-5,0,0.0509363000746816,"A","A","mask-2.png","mask-2.png",0.101373099954799,0.098921800032258,0.74893209990114
"RSVPLG03","1.0.1",701,"km","Practice",15,"20251014-094221","main","global","local",750,750,"T1",1,"Automatic","H","hH","h",1,0.275650399969891,0.0488681001588702,"H","hH","none",-5,0,0.0498070998582989,"E","A","mask-3.png","mask-1.png",0.0988851001020521,0.0993097999598831,0.747397000202909
"RSVPLG03","1.0.1",701,"km","Practice",16,"20251014-094226","main","global","global",300,300,"T1",1,"Automatic","H","hH","h",1,0.367242499953136,0.0497210000175983,"H","hH","none",-5,0,0.0501520000398159,"E","E","mask-2.png","mask-4.png",0.0976386999245733,0.100578699959442,0.297875199932605
"RSVPLG03","1.0.1",701,"km","Practice",1,"20251014-094308","main","local","global",750,750,"T1",1,"Automatic","H","hH","s",0,1.31820470001549,0.0476079001091421,"H","hH","none",-5,0,0.048709699884057,"E","A","mask-3.png","mask-3.png",0.0979178000707179,0.0996687998995185,0.749436600133777
"RSVPLG03","1.0.1",701,"km","Practice",2,"20251014-094313","main","local","global",750,750,"T1",1,"Automatic","H","hH","s",0,0.398575099883601,0.0507649998180568,"S","sS","none",-5,0,0.0502040998544544,"E","A","mask-4.png","mask-3.png",0.102041299920529,0.101600300054997,0.751632299972698
"RSVPLG03","1.0.1",701,"km","Practice",3,"20251014-094318","main","global","global",300,300,"T1",1,"Automatic","S","sS","s",1,0.300691199954599,0.0498271000105888,"S","sS","none",-5,0,0.0491404000204057,"E","A","mask-1.png","mask-2.png",0.100650200154632,0.0994275000412017,0.30118630011566
"RSVPLG03","1.0.1",701,"km","Practice",4,"20251014-094321","main","global","local",300,300,"T1",1,"Automatic","H","hH","h",1,0.318241400178522,0.0509845998603851,"H","hH","none",-5,0,0.0498293000273407,"A","A","mask-2.png","mask-3.png",0.100569499889389,0.101438999874517,0.301115199923515
"RSVPLG03","1.0.1",701,"km","Practice",5,"20251014-094325","main","local","local",300,300,"T1",1,"Automatic","S","sS","h",0,0.372969700023532,0.0498597000259906,"S","sS","none",-5,0,0.0487256001215428,"A","A","mask-4.png","mask-2.png",0.0996576000470668,0.0990361000876874,0.301941199926659
"RSVPLG03","1.0.1",701,"km","Practice",6,"20251014-094329","main","global","local",750,750,"T1",1,"Automatic","H","hH","h",1,0.571675600018352,0.0517514999955893,"S","sS","none",-5,0,0.0472232000902295,"A","A","mask-3.png","mask-2.png",0.102465700125322,0.0971754000056535,0.754129400011152
"RSVPLG03","1.0.1",701,"km","Practice",7,"20251014-094334","main","global","local",300,300,"T1",1,"Automatic","S","sS","s",1,0.347445099847391,0.0508518998976797,"S","sS","none",-5,0,0.0487426000181586,"A","A","mask-3.png","mask-1.png",0.100531700067222,0.0993085999507457,0.301252899924293
"RSVPLG03","1.0.1",701,"km","Practice",8,"20251014-094338","main","global","global",750,750,"T1",1,"Automatic","S","sS","s",1,0.332912900019437,0.0497383000329137,"S","sS","none",-5,0,0.0506625999696553,"A","A","mask-4.png","mask-1.png",0.100218900013715,0.100694899912924,0.749884800054133
"RSVPLG03","1.0.1",701,"km","Practice",9,"20251014-094342","main","local","local",750,750,"T1",1,"Automatic","S","sS","s",1,0.315513400128111,0.0515352000948042,"S","sS","none",-5,0,0.0498079000972211,"E","E","mask-4.png","mask-1.png",0.101395700126886,0.0987235000357032,0.753646200057119
"RSVPLG03","1.0.1",701,"km","Practice",10,"20251014-094346","main","local","local",750,750,"T1",1,"Automatic","H","hH","h",1,0.713278099894524,0.0497242000419647,"S","sS","none",-5,0,0.05011189985089,"A","A","mask-2.png","mask-1.png",0.100172400008887,0.0998468999750912,0.752554600127041
"RSVPLG03","1.0.1",701,"km","Practice",11,"20251014-094351","main","local","global",300,300,"T1",1,"Automatic","H","hH","h",1,1.10490719997324,0.0501037000212818,"S","sS","none",-5,0,0.049046800006181,"E","E","mask-1.png","mask-3.png",0.10118249990046,0.0995744001120329,0.302683499874547
"RSVPLG03","1.0.1",701,"km","Practice",12,"20251014-094356","main","global","local",750,750,"T1",1,"Automatic","S","sS","s",1,0.598101599840447,0.0487548999954015,"H","hH","none",-5,0,0.0497979000210762,"A","A","mask-1.png","mask-1.png",0.100370999891311,0.101127200061455,0.7504418999888
"RSVPLG03","1.0.1",701,"km","Practice",13,"20251014-094400","main","global","global",300,300,"T1",1,"Automatic","S","sS","s",1,1.44377889996395,0.0501112998463213,"H","hH","none",-5,0,0.0491247999016196,"E","A","mask-3.png","mask-3.png",0.099922199966386,0.100307299988344,0.300575699890032
"RSVPLG03","1.0.1",701,"km","Practice",14,"20251014-094405","main","local","local",300,300,"T1",1,"Automatic","H","hH","h",1,0.843867799965665,0.0497550999280065,"S","sS","none",-5,0,0.0497893001884222,"A","E","mask-2.png","mask-1.png",0.100807199953124,0.100016599986702,0.300228399923071
"RSVPLG03","1.0.1",701,"km","Practice",15,"20251014-094410","main","global","global",750,750,"T1",1,"Automatic","S","sS","s",1,0.46025519981049,0.0507835999596864,"S","sS","none",-5,0,0.0481122001074255,"E","A","mask-4.png","mask-3.png",0.102141299983487,0.0990565000101924,0.754819999914616
"RSVPLG03","1.0.1",701,"km","Practice",16,"20251014-094414","main","local","global",300,300,"T1",1,"Automatic","H","hH","h",1,0.319525399943814,0.0504318000748754,"H","hH","none",-5,0,0.0491910001728684,"E","E","mask-3.png","mask-4.png",0.0993936001323164,0.100025800056756,0.300336299929768
"RSVPLG03","1.0.1",701,"km","Introduction",1,"20251014-094624","main","global","global",750,750,"Both",1,"Automatic","H","hH","h",1,0.480126400012523,0.0986258001066744,"H","hH","s",0,1.7595518999733,0.099994899937883,"E","A","mask-4.png","mask-2.png",0.199166000122204,0.199210399994627,0.749725500121713
"RSVPLG03","1.0.1",701,"km","Introduction",2,"20251014-094631","main","global","local",750,750,"Both",1,"Automatic","S","sS","s",1,1.62408740003593,0.0993842000607401,"S","sS","s",1,0.58597549982369,0.0989251998253167,"A","E","mask-4.png","mask-1.png",0.199685200117528,0.199464499950409,0.750272000208497
"RSVPLG03","1.0.1",701,"km","Introduction",3,"20251014-094637","main","global","global",750,750,"Both",1,"Automatic","H","hH","h",1,1.05711880000308,0.0997740998864174,"H","hH","h",1,1.36289579980075,0.100188400130719,"E","A","mask-1.png","mask-1.png",0.199759199982509,0.199984600069001,0.750156099908054
"RSVPLG03","1.0.1",701,"km","Introduction",4,"20251014-094644","main","global","global",750,750,"Both",1,"Automatic","H","hH","h",1,2.25040589994751,0.100739700021222,"S","sS","s",1,0.46473370003514,0.0990687999874353,"E","E","mask-2.png","mask-3.png",0.202648499980569,0.199878300074488,0.749829599866644
"RSVPLG03","1.0.1",701,"km","Introduction",5,"20251014-094651","main","global","local",750,750,"Both",1,"Automatic","H","hH","h",1,0.823065300006419,0.100844000000507,"S","sS","s",1,0.498353100148961,0.100774599937722,"A","A","mask-4.png","mask-4.png",0.20149639993906,0.199151299893856,0.75017030001618
"RSVPLG03","1.0.1",701,"km","Introduction",6,"20251014-094657","main","global","local",750,750,"Both",1,"Automatic","S","sS","s",1,1.00449050008319,0.100172700127587,"S","sS","h",0,0.494143599877134,0.10006479988806,"A","A","mask-3.png","mask-2.png",0.199811000144109,0.197929299902171,0.751363800140098
"RSVPLG03","1.0.1",701,"km","Introduction",7,"20251014-094702","main","local","global",750,750,"Both",1,"Automatic","S","sS","s",1,1.66133260005154,0.101265999954194,"H","hH","h",1,0.337207900127396,0.100219100015238,"E","E","mask-4.png","mask-2.png",0.200532399816439,0.199057599995285,0.750173199921846
"RSVPLG03","1.0.1",701,"km","Introduction",8,"20251014-094708","main","global","global",750,750,"Both",1,"Automatic","H","hH","h",1,1.01663950015791,0.0991515000350773,"S","sS","s",1,0.334661700064316,0.101598599925637,"E","E","mask-2.png","mask-3.png",0.198464999906719,0.200990899931639,0.748221199959517
"RSVPLG03","1.0.1",701,"km","Introduction",9,"20251014-094714","main","local","local",750,750,"Both",1,"Automatic","S","sS","s",1,1.20794060011394,0.100095100002363,"H","hH","h",1,0.52282389998436,0.098596700001508,"A","A","mask-1.png","mask-4.png",0.200011600041762,0.200700999936089,0.749939400004223
"RSVPLG03","1.0.1",701,"km","Introduction",10,"20251014-094720","main","local","global",750,750,"Both",1,"Automatic","S","sS","s",1,1.05940559995361,0.0998078000266105,"S","sS","h",0,0.496630199952051,0.0980708999559283,"E","A","mask-2.png","mask-2.png",0.201220800168812,0.200254399795085,0.751296900212765
"RSVPLG03","1.0.1",701,"km","Introduction",11,"20251014-094726","main","local","local",750,750,"Both",1,"Automatic","S","sS","s",1,1.13082040008157,0.0999770001508296,"S","sS","s",1,0.321231399895623,0.100526199908927,"A","E","mask-4.png","mask-2.png",0.199592499993742,0.201834499835968,0.750189100159332
"RSVPLG03","1.0.1",701,"km","Introduction",12,"20251014-094732","main","local","local",750,750,"Both",1,"Automatic","S","sS","s",1,0.361821299884468,0.0997156000230461,"S","sS","s",1,0.336174899945036,0.100092799868435,"A","A","mask-4.png","mask-3.png",0.198889199877158,0.200044799828902,0.749094200087711
"RSVPLG03","1.0.1",701,"km","Introduction",13,"20251014-094737","main","local","global",750,750,"Both",1,"Automatic","H","hH","h",1,0.875517000211403,0.100802199915051,"H","hH","s",0,0.491246500052512,0.100945200072601,"E","E","mask-2.png","mask-3.png",0.200808600056916,0.201170299900696,0.748944299994037
"RSVPLG03","1.0.1",701,"km","Introduction",14,"20251014-094742","main","local","local",750,750,"Both",1,"Automatic","S","sS","s",1,1.15945250005461,0.100178299937397,"H","hH","h",1,0.282251999946311,0.0990400998853147,"A","A","mask-3.png","mask-1.png",0.200640300055966,0.198451899923384,0.751264600083232
"RSVPLG03","1.0.1",701,"km","Introduction",15,"20251014-094748","main","global","local",750,750,"Both",1,"Automatic","S","sS","s",1,1.63010810012929,0.0995475000236183,"S","sS","s",1,0.219296699855477,0.100784700131044,"E","E","mask-3.png","mask-3.png",0.198250999907032,0.20113530009985,0.74815099989064
"RSVPLG03","1.0.1",701,"km","Introduction",16,"20251014-094754","main","local","global",750,750,"Both",1,"Automatic","H","hH","h",1,1.64280649996363,0.0979383999947458,"S","sS","s",1,0.353662899928167,0.101960200117901,"E","A","mask-1.png","mask-3.png",0.198809900088236,0.201532700099051,0.748808299889788
"RSVPLG03","1.0.1",701,"km","Experiment",1,"20251014-095051","warmup","global","global",750,750,"Both",1,"Automatic","S","sS","s",1,2.35947630018927,0.0499718000646681,"S","sS","h",0,0.688785499893129,0.0511302999220788,"E","E","mask-3.png","mask-4.png",0.101324200164527,0.101825900143012,0.742069700034335
"RSVPLG03","1.0.1",701,"km","Experiment",2,"20251014-095058","warmup","local","global",750,750,"Both",1,"Automatic","S","sS","s",1,0.872985699912533,0.0511425000149757,"H","hH","h",1,0.345199000090361,0.049861199920997,"A","E","mask-2.png","mask-2.png",0.099939800100401,0.101136399898678,0.742142500123009
"RSVPLG03","1.0.1",701,"km","Experiment",3,"20251014-095103","warmup","local","local",750,750,"Both",1,"Automatic","S","sS","s",1,0.982980699976906,0.0517582001630217,"H","hH","h",1,0.286290700081736,0.0504651998635381,"A","A","mask-4.png","mask-1.png",0.103552200132981,0.100089399842545,0.744746900163591
"RSVPLG03","1.0.1",701,"km","Experiment",4,"20251014-095108","warmup","local","global",300,300,"Both",1,"Automatic","H","hH","s",0,2.1306123000104,0.0516210999339819,"S","sS","h",0,0.415995100047439,0.0504564999137074,"A","E","mask-4.png","mask-2.png",0.102135599823669,0.100992899853736,0.305797399953008
"RSVPLG03","1.0.1",701,"km","Experiment",5,"20251014-095115","warmup","global","local",750,750,"Both",1,"Automatic","H","hH","h",1,1.18704039999284,0.0501730998512357,"H","hH","h",1,1.53020030003972,0.0496666000690311,"E","E","mask-3.png","mask-2.png",0.1000889998395,0.0986142000183463,0.743130199844018
"RSVPLG03","1.0.1",701,"km","Experiment",6,"20251014-095121","main","global","local",300,300,"Both",1,"Automatic","S","sS","s",1,1.02573680016212,0.0497449000831693,"S","sS","h",0,0.336471199989319,0.0517380000092089,"E","A","mask-1.png","mask-2.png",0.0997367999516428,0.100633400026709,0.303225999930874
"RSVPLG03","1.0.1",701,"km","Experiment",7,"20251014-095126","main","global","global",300,300,"Both",1,"Automatic","S","sS","s",1,0.921071100048721,0.0500576999038458,"S","sS","h",0,0.370758400065824,0.0515787999611348,"A","E","mask-2.png","mask-2.png",0.101340200053528,0.101568099809811,0.302985900081694
"RSVPLG03","1.0.1",701,"km","Experiment",8,"20251014-095131","main","local","global",750,750,"Both",1,"Automatic","H","hH","h",1,0.972983399871737,0.0486283998470753,"S","sS","s",1,1.55171319982037,0.0501242000609636,"A","E","mask-1.png","mask-4.png",0.0994031999725848,0.101859200047329,0.741830399958417
"RSVPLG03","1.0.1",701,"km","Experiment",9,"20251014-095138","main","local","local",300,300,"Both",1,"Automatic","S","sS","s",1,0.653740300098434,0.0509521998465061,"S","sS","h",0,0.547207900090143,0.0503174001350999,"A","A","mask-1.png","mask-2.png",0.101294399937615,0.101373000070453,0.304455499863252
"RSVPLG03","1.0.1",701,"km","Experiment",10,"20251014-095143","main","global","local",750,750,"Both",1,"Automatic","H","hH","s",0,0.450419599888846,0.0517175998538733,"H","hH","h",1,0.801868499955162,0.0509827001951635,"E","A","mask-2.png","mask-2.png",0.101190599845722,0.101379800122231,0.743699899874628
"RSVPLG03","1.0.1",701,"km","Experiment",11,"20251014-095148","main","global","local",300,300,"Both",1,"Automatic","H","hH","h",1,0.68477200018242,0.0530568000394851,"S","sS","s",1,0.283293700078502,0.0508713000454009,"E","E","mask-2.png","mask-4.png",0.102350299945101,0.101662900066003,0.304713999852538
"RSVPLG03","1.0.1",701,"km","Experiment",12,"20251014-095153","main","global","global",300,300,"Both",1,"Automatic","H","hH","h",1,0.441730999853462,0.0499026998877525,"H","hH","s",0,0.305834800004959,0.0529853999614716,"E","A","mask-2.png","mask-4.png",0.100727299926803,0.102523599984124,0.301760099828243
