row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime,
9,global,local,7,0,0,0,8,,,1,warmup,ZHZUYEYFLSLFTUH,HZFZSNLSTYUHXFU,6,E,X,eE,yY,e,1,0.816571200000908,n,0,0.842080000000351,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
11,global,global,3,0,1,1,10,,,2,warmup,UZUFTSXLHNEHNSE,HNUYNTSLZZHLEUE,4,F,X,fF,yY,z,0,1.07861690000027,n,0,0.5075428000000102,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
3,local,local,7,0,2,2,2,,,3,warmup,ELZLNSFYZTUFTEY,ZFSFHETEZYYXUTU,5,H,X,hH,yY,h,1,0.8433822999995755,n,0,0.05843600000116567,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
4,local,global,0,0,3,3,3,,,4,warmup,YTEYNLSZFTFHLSH,SHZLUFTSEZTEFLH,5,U,absent,uU,nN,u,1,0.941729199999827,n,1,0.07362429999921005,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
12,global,global,7,0,4,4,11,,,5,warmup,HEYNFLNTYSEUXFS,SYHTUZTEEFNYSUF,6,L,X,lL,yY,z,0,0.7857316000008723,n,0,0.0970870000001014,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
5,local,global,3,0,0,0,4,,,6,exp,FZLZTHFXEESNUSL,HUEHYFFZSLLEUNS,5,Y,X,yY,yY,y,1,0.8503189999992173,n,0,0.060952799998631235,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
5,local,global,3,0,1,1,4,,,7,exp,HFETSYUXTEUZZHY,FEZELUHYFNZTTYH,5,L,X,lL,yY,e,0,0.5835510999986582,y,1,2.0431000999997195,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
7,global,local,0,0,2,2,6,,,8,exp,NLYLESTUSNZYTFZ,TFUNHZSZNFUSYLT,5,E,absent,eE,nN,h,0,2.2287747000009404,n,1,0.18734279999989667,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
8,global,local,3,0,3,3,7,,,9,exp,UNZYEYFFSTHTSHZ,FYZZLTUXSSUHTFH,5,E,X,eE,yY,s,0,0.12517289999959758,n,0,0.7761823999990156,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
10,global,global,0,0,4,4,9,,,10,exp,UUTTLYNFSYESNEF,ZENFHSTEYZYUUNF,5,L,absent,lL,nN,s,0,0.363034100000732,n,1,0.362531200000376,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
9,global,local,7,0,5,5,8,,,11,exp,YNNTUHLEULEZZYF,ETLZNSZUTFYLXFY,6,H,X,hH,yY,s,0,0.3349242999993294,n,0,0.4144145000009303,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
11,global,global,3,0,6,6,10,,,12,exp,HLSYFZXNEFZSLHE,FELTUHSLZNNEHSF,4,Y,X,yY,yY,t,0,0.9005366999990656,n,0,0.05823960000088846,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
2,local,local,3,0,7,7,1,,,13,exp,FNUSELTUNHHYYFL,TNLZETXUNYUHYHL,4,Z,X,zZ,yY,z,1,0.331995000000461,n,0,0.1387049000004481,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
11,global,global,3,0,8,8,10,,,14,exp,LZHZYUHXTSNLFTN,SNULETZHZLNTFHU,5,Y,X,yY,yY,y,1,0.1492536999994627,y,1,0.8756790000006731,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
11,global,global,3,0,9,9,10,,,15,exp,UUNFHFLXLZNETSS,FENZYELLFUUZSTT,5,H,X,hH,yY,f,0,0.8191377999992255,n,0,0.12210729999969772,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
12,global,global,7,0,10,10,11,,,16,exp,NYUSZSUNHFTXEET,FYNTLHYNHFUUSST,5,Z,X,zZ,yY,z,1,0.8782249000014417,n,0,0.443453200001386,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
8,global,local,3,0,11,11,7,,,17,exp,TYLNSHZTHLZSFEE,HTLUTYXSSHEFYLZ,4,N,X,nN,yY,y,0,0.44410310000057507,n,0,0.2173906000007264,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
3,local,local,7,1,0,12,2,,,18,exp,HHSTLFTUYZYSZNF,FTHSEZZHYYNXFUU,5,E,X,eE,yY,e,1,0.37398400000165566,n,0,0.3016371999983676,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
7,global,local,0,1,1,13,6,,,19,exp,ZLYFNULHHSNSZYU,YHUEZSNTZTLNYLH,4,F,absent,fF,nN,f,1,0.3618538999999146,n,1,0.3612207000005583,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
6,local,global,7,1,2,14,5,,,20,exp,ZFEFLTSZHNYXSNH,ENSFUZHZTHSNYFE,5,U,X,uU,yY,u,1,0.7865500999996584,y,1,0.04520799999954761,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
5,local,global,3,1,3,15,4,,,21,exp,HZUSEHXFYTZYNNF,ZFNLNEHTHYYUFUZ,4,L,X,lL,yY,y,0,1.569240400000126,y,1,0.7136489000004076,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
8,global,local,3,1,4,16,7,,,22,exp,ESLETHYNZUZYLTU,LESNYFTEXNULZYU,6,H,X,hH,yY,y,0,1.3131291000008787,y,1,0.31310909999956493,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
2,local,local,3,1,5,17,1,,,23,exp,TZEYUZFHYSSFNET,SSFYLHTXZEFZHNN,5,L,X,lL,yY,l,1,0.9479690999996819,n,0,0.45859349999955157,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
11,global,global,3,1,6,18,10,,,24,exp,ZTESYHYNXNFUSEU,TNYZFLSZTEFNUES,6,H,X,hH,yY,h,1,0.9003045999997994,n,0,0.07462949999899138,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
1,local,local,0,1,7,19,0,,,25,exp,UHFYESNNUSEZHZF,NFSLEUETHZSTFZU,4,L,absent,lL,nN,l,1,0.7803583000004437,n,1,0.12185279999903287,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
8,global,local,3,1,8,20,7,,,26,exp,SNUSLYLENUFFZTZ,USZFUHLNXEFSNTL,6,Y,X,yY,yY,y,1,0.8675945999984833,n,0,0.10784909999892989,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
5,local,global,3,1,9,21,4,,,27,exp,UHYHNSFNXLZYTZL,HNUTZEZHLYTFYLF,6,E,X,eE,yY,h,0,1.08707879999929,n,0,0.04770250000001397,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
9,global,local,7,1,10,22,8,,,28,exp,STFSLENYEZTUFYN,SYTFHTEFZZNXSEY,5,L,X,lL,yY,l,1,0.8514238999996451,n,0,0.10859349999918777,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
10,global,global,0,1,11,23,9,,,29,exp,TYZFZETNSNLUSYU,TYEHEZSZLTNUNYL,4,F,absent,fF,nN,h,0,0.8576104000003397,n,1,0.057003899999472196,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
5,local,global,3,2,0,24,4,,,30,exp,TSFEHTLXUEFUNLS,SSLZYLNENUTTFFU,5,Y,X,yY,yY,h,0,0.41576960000020335,n,0,0.12331909999920754,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
12,global,global,7,2,1,25,11,,,31,exp,FEENYSZULUXTLFY,ETYHYFSEZTSUUZF,4,N,X,nN,yY,y,0,0.7198215999997046,n,0,0.12239659999977448,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
10,global,global,0,2,2,26,9,,,32,exp,LYLZNEYFUZTUSSF,ZFYEHTLZTYUSSUL,5,N,absent,nN,nN,h,0,1.4192917000000307,y,0,0.9525573999999324,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
11,global,global,3,2,3,27,10,,,33,exp,EHYTZYSXUFTEUNF,NHTYLNUSHYEFFST,5,Z,X,zZ,yY,h,0,1.0883089000017208,n,0,0.042163199999777135,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
4,local,global,0,2,4,28,3,,,34,exp,FULENSYEZULTNZT,LFYENHTEUZZTNUF,6,H,absent,hH,nN,h,1,0.9591411000001244,n,1,0.044764300000679214,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
12,global,global,7,2,5,29,11,,,35,exp,FFZNYLZTHSXHSLT,ZLHUTEYZFTSFSEH,4,N,X,nN,yY,n,1,0.8129376999986562,y,1,0.0417555000003631,RSVPLG01,0.94,2023-09-12-22:25:04,11900,1,Experiment,2023-09-12_15h40.50.216,
