row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime,
1,local,local,0,0,0,0,0,1,warmup,TUZEYSNUZNTHEFH,FEFSLTZZNTSNHUH,5,L,absent,lL,nN,l,1,0.8419405999593437,n,1,0.7774604000151157,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
2,local,local,3,0,1,1,1,2,warmup,LLEZUSHNTTEHNFU,HSNYFLXNHUSUTET,4,Y,X,yY,yY,y,1,0.7394952999893576,y,1,0.4284042000072077,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
8,global,local,3,0,2,2,7,3,warmup,NEFTFYHULLUSYEN,ENYZFEXSHNYHLFU,4,T,X,tT,yY,t,1,0.7486840999918059,y,1,0.3668044999940321,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
7,global,local,0,0,3,3,6,4,warmup,LETSLZZNNHUTYUE,UELFUNYTYTNHZLZ,4,S,absent,sS,nN,s,1,0.8777897000545636,n,1,0.3486018000403419,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
10,global,global,0,0,4,4,9,5,warmup,NETSYZYNEHULLTU,HTLNYFSUUHNSYTL,6,Z,absent,zZ,nN,z,1,0.948822999955155,y,0,0.6174756999826059,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
5,local,global,3,0,0,0,4,6,exp,HTEYLNUHXLYEFFS,TSULTZFUYHESLFE,6,Z,X,zZ,yY,z,1,0.8388639000477269,y,1,0.6072642999934033,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
8,global,local,3,0,1,1,7,7,exp,FZSUHFNZLYEYUEL,ESSLTNFXYUZFLNZ,5,H,X,hH,yY,n,0,0.9342457000166178,n,0,0.4726891000755131,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
2,local,local,3,0,2,2,1,8,exp,EFHZHLUNEFTNSTS,HSFYUUXTESTLNFL,4,Y,X,yY,yY,z,0,0.8535123999463394,y,1,0.4463471999624744,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
11,global,global,3,0,3,3,10,9,exp,ZSHLHYXFUTNYSTN,SHNEYTUSHYZFTFU,4,L,X,lL,yY,l,1,0.814002100029029,y,1,1.7907530999509618,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
6,local,global,7,0,4,4,5,10,exp,ZZHFUSYFESNXNEL,ELZYTELSNZFHYNH,5,T,X,tT,yY,t,1,0.9642437000293285,y,1,0.3129135000053793,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
8,global,local,3,0,5,5,7,11,exp,YNUHSLENFUTTSFY,HEFUUZYSXNTNSYH,6,L,X,lL,yY,y,0,1.872069999924861,y,1,1.0827769000316039,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
11,global,global,3,0,6,6,10,12,exp,FHETNSHXZLEUFTU,TTUZYHEULZHSFSF,5,N,X,nN,yY,n,1,0.744113799999468,y,1,0.45782220002729446,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
9,global,local,7,0,7,7,8,13,exp,YHULFSYEEUFLHZN,NZYHHTFLLUUYXFN,6,S,X,sS,yY,s,1,0.9681859998963773,y,1,0.3122159999329597,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
3,local,local,7,0,8,8,2,14,exp,ELNZHYHLUFZESUS,HENFLTSSULZZXHU,6,T,X,tT,yY,t,1,1.0898141000652686,y,1,0.3790877000428736,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
12,global,global,7,0,9,9,11,15,exp,FYHHNUZZENFSXSE,FNTTNLZYSHYEHSZ,6,U,X,uU,yY,l,0,0.8024532999843359,y,1,0.6170629999833182,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
8,global,local,3,0,10,10,7,16,exp,YSFUZTTFYHHZLNL,TSSEHNXFTFYLYHN,4,U,X,uU,yY,u,1,0.7009761999361217,y,1,0.31288510002195835,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
12,global,global,7,0,11,11,11,17,exp,ULEHFZNYTNXTEZU,FFUSYTULEZNZLEY,4,H,X,hH,yY,h,1,0.7000709000276402,y,1,0.48001240007579327,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
3,local,local,7,1,0,12,2,18,exp,ZNTESHYYHFFNTZE,ZHTNUHFYYLZXNEF,5,U,X,uU,yY,u,1,0.6547759000677615,y,1,0.440966899972409,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
5,local,global,3,1,1,13,4,19,exp,YHHTNSSXUZFYFLZ,HYUFEHTTZFUSLZS,5,E,X,eE,yY,e,1,0.9563447999535128,y,1,0.36351539997849613,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
12,global,global,7,1,2,14,11,20,exp,FTNFLUYZHHSXUTZ,SZZHEFNTUYUFTHN,5,L,X,lL,yY,l,1,0.9024414999876171,y,1,0.3305370999732986,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
1,local,local,0,1,3,15,0,21,exp,SZYYTNSUUHLTEEL,LZYEYFHLESSZTTH,6,F,absent,fF,nN,f,1,0.8322000000625849,n,1,0.30241339991334826,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
7,global,local,0,1,4,16,6,22,exp,FTSHYZYTLFHELUU,HFYSFNUYTESLTHU,6,Z,absent,zZ,nN,z,1,0.9469679000321776,y,0,0.2803529999218881,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
2,local,local,3,1,5,17,1,23,exp,ESUHYLTFUZZLYST,YYTNSUXTLZUFEZF,4,N,X,nN,yY,n,1,0.6987938000820577,y,1,0.09372070000972599,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
10,global,global,0,1,6,18,9,24,exp,NLFTYNLZUHHZFUY,FFZSHYLLNUEZYNU,4,T,absent,tT,nN,y,0,0.6713826999766752,y,0,0.3303384999744594,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
10,global,global,0,1,7,19,9,25,exp,ZUTFYNZYFEHEUST,UYSFELTFZSTHHUE,6,N,absent,nN,nN,z,0,0.45576359995175153,y,0,0.316110200015828,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
5,local,global,3,1,8,20,4,26,exp,FLHUTYUXHZLNYSF,LNZYEFSFYUULHSH,5,E,X,eE,yY,e,1,0.7699439999414608,y,1,0.44650930003263056,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
8,global,local,3,1,9,21,7,27,exp,HZEYSHFEZNUNTYT,EHYZLYUXZNFHTTE,5,S,X,sS,yY,s,1,0.9143099000211805,y,1,0.4247660000110045,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
4,local,global,0,1,10,22,3,28,exp,TEZLYNSULFTUZSF,LTFEFHYSUYLZEZU,6,H,absent,hH,nN,h,1,0.7849503000034019,y,0,0.34959999995771796,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
9,global,local,7,1,11,23,8,29,exp,HESYZULTNLUTZHE,EZLFTSZTHUXENLN,4,Y,X,yY,yY,y,1,0.8358213999308646,y,1,0.31736510002519935,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
5,local,global,3,2,0,24,4,30,exp,FZULNLHXFYSZEUH,HLUSTLFYEUZSZHY,5,T,X,tT,yY,t,1,0.2350407000631094,y,1,0.37740140000823885,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
3,local,local,7,2,1,25,2,31,exp,LLTEHYNEFTFUNSS,EFSTEZUNSHHUXTF,6,Z,X,zZ,yY,z,1,0.7825819000136107,y,1,0.47757450002245605,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
1,local,local,0,2,2,26,0,32,exp,HYTSFTZSHZNENYE,ZNYHLNHTEZSUEUY,5,L,absent,lL,nN,n,0,1.708162699942477,n,1,0.782964100013487,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
10,global,global,0,2,3,27,9,33,exp,EZNHTSUHTNZELFU,NZLTHYULTZNUFEH,6,S,absent,sS,nN,s,1,0.8593011999037117,y,0,0.5267545999959111,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
12,global,global,7,2,4,28,11,34,exp,ZTLTZFNNHYEHXUL,HLNELSZNTHYZEYU,6,F,X,fF,yY,f,1,1.076070100069046,y,1,1.0351847999263555,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
5,local,global,3,2,5,29,4,35,exp,HLSTUZLFXFUSNHY,SFUTLEHUNTFNLHY,6,E,X,eE,yY,e,1,0.49268929997924715,y,1,0.681806999957189,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
2,local,local,3,2,6,30,1,36,exp,TNHZFLSENEUHTUF,HFFSZYHNXEUNUST,6,Y,X,yY,yY,s,0,0.9355841000797227,n,0,0.2644502999028191,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
6,local,global,7,2,7,31,5,37,exp,UFHSLESTLTZHXZF,HTFFSNLUSTZZHYL,6,N,X,nN,yY,n,1,0.5940000000409782,y,1,0.5907829999923706,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
1,local,local,0,2,8,32,0,38,exp,YUELHEFLSSZTZFU,UETFNZYZUYTESLF,5,N,absent,nN,nN,z,0,0.8960162000730634,n,1,0.26786459994036704,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
9,global,local,7,2,9,33,8,39,exp,ZLNSYTNUUEEZLYT,ZZEFTUYLNUXYHET,4,S,X,sS,yY,s,1,1.0850271000526845,n,0,0.4308122000657022,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
10,global,global,0,2,10,34,9,40,exp,NYHHEUTUYNSFFZS,UZSHLFUHNNSFYZY,5,E,absent,eE,nN,n,0,1.7051851000869647,n,1,0.6704927999526262,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
12,global,global,7,2,11,35,11,41,exp,NYSLTSYETZXEZNF,EZNHYTFUYFNSSTU,4,L,X,lL,yY,s,0,0.8444599999347702,y,1,0.1545371999964118,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
10,global,global,0,3,0,36,9,42,exp,FTSULHELZTNNFHE,SHLYELZEHTNSFTN,4,U,absent,uU,nN,y,0,0.764942399924621,y,0,0.15449860005173832,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
7,global,local,0,3,1,37,6,43,exp,FESYLLHFNSHUEZU,FNSTFELNESZLHZU,4,Y,absent,yY,nN,y,1,0.7813145999098197,n,1,0.33571459993254393,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
1,local,local,0,3,2,38,0,44,exp,EZSELYHFUFNNSLU,EFUSNTHHNUFLSZZ,6,T,absent,tT,nN,t,1,0.7724719000980258,n,1,1.0196648999117315,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
4,local,global,0,3,3,39,3,45,exp,SHZLUESYFUNHNFZ,YEETSUYHFNHZFSN,4,T,absent,tT,nN,l,0,1.0432480999734253,n,1,0.35073140007443726,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
8,global,local,3,3,4,40,7,46,exp,TENLHUNFYTZFEUY,ENFTSLUXNUFZYLY,5,H,X,hH,yY,s,0,0.8415807000128552,n,0,0.185838200035505,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
6,local,global,7,3,5,41,5,47,exp,YLESHFHZLNXZUYN,NEUTLUNHYLHEZFZ,4,T,X,tT,yY,t,1,1.3035237999865785,y,1,0.6193325000349432,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
1,local,local,0,3,6,42,0,48,exp,HTSLUNFYLYUFZST,THSSLELHFZYUZTF,6,E,absent,eE,nN,e,1,0.7486088000005111,n,1,0.5211301000090316,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
12,global,global,7,3,7,43,11,49,exp,UZTULENFNSTXYYF,NSZYHTZUUTEFSYF,5,L,X,lL,yY,l,1,0.6968939999351278,y,1,0.7303412000183016,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
10,global,global,0,3,8,44,9,50,exp,TLYNHTUESYEZNZU,SNELFZYTSTNLUYZ,5,H,absent,hH,nN,f,0,1.1005782999563962,n,1,0.3123370000394061,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
7,global,local,0,3,9,45,6,51,exp,SNSYFUTHTYZUNZL,LSUHENTSYHULNTZ,5,F,absent,fF,nN,e,0,1.1087826999137178,n,1,0.20093749999068677,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
11,global,global,3,3,10,46,10,52,exp,HFYLNTXZEUUFNEY,YFNSFYEZUNZHTTE,4,L,X,lL,yY,l,1,0.603349499986507,y,1,0.32991960004437715,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
7,global,local,0,3,11,47,6,53,exp,UTYHLENTLNZHYSS,LLSYTFHZUHTUNZS,6,E,absent,eE,nN,f,0,0.9253538000630215,y,0,0.3949659999925643,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
5,local,global,3,4,0,48,4,54,exp,HESSZNTLXTFHLFU,ULHFTYLSSUEZEFZ,6,Y,X,yY,yY,y,1,0.512038099928759,y,1,0.37710869999136776,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
7,global,local,0,4,1,49,6,55,exp,UYSZNTLEUSNHYLH,TNUFLSHTEHSYLEN,4,Z,absent,zZ,nN,z,1,0.9051664000144228,y,0,1.129688100074418,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
6,local,global,7,4,2,50,5,56,exp,HZHLSTFNFZLSXUN,FEUNLYSZELHFZUN,6,Y,X,yY,yY,y,1,1.0833394000073895,y,1,0.3626733999699354,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
3,local,local,7,4,3,51,2,57,exp,FZEUSEYYFSTNNZL,SLFHTYTESNXELFN,4,H,X,hH,yY,h,1,0.7665476000402123,n,0,0.206046300008893,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
7,global,local,0,4,4,52,6,58,exp,NUSYELTLNFUSHTE,LSNZNHUTHESFLEU,4,Y,absent,yY,nN,y,1,0.8753068000078201,n,1,0.281241700053215,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
10,global,global,0,4,5,53,9,59,exp,NTULNFEHYHSSYTU,ETNYLZYESHTNSLU,6,F,absent,fF,nN,z,0,0.8615048000356182,y,0,0.5738861000863835,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
6,local,global,7,4,6,54,5,60,exp,EHYZTHEUNLXYNUT,UTYSYFUEEHNLNFH,4,S,X,sS,yY,s,1,0.25586849998217076,y,1,0.6695305000757799,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
2,local,local,3,4,7,55,1,61,exp,FZNHUYSTZLUTLNY,ZTFEUSXYUYNSZLL,4,E,X,eE,yY,e,1,0.8885059000458568,y,1,0.24991859996225685,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
4,local,global,0,4,8,56,3,62,exp,LNSLTZSEYEHYUTN,UEYUSFYLNHELTNT,6,F,absent,fF,nN,f,1,0.9205486999126151,y,0,0.8100123999174684,RSVPLG01,0.94,2023-09-12-22:31:44,909,1,Experiment,2023-09-12_15h48.50.433,
