row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime
9,global,local,7,0,0,0,8,,,1,warmup,THFUYEFUTSSLEHL,SHLTNZUFULEXSHE,5,Y,X,yY,yY,y,1,0.3249765,n,0,4.360076375,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
5,local,global,3,0,1,1,4,,,2,warmup,ZHSTHEXUZFELUNL,ZNEYFLHSHFUZUSN,4,Y,X,yY,yY,y,1,0.322432125,y,1,0.620297291,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
6,local,global,7,0,2,2,5,,,3,warmup,FNLNHZUSEHYUXFE,NHFHLTYFNSLESEY,6,T,X,tT,yY,t,1,0.536143084,y,1,0.959299708,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
7,global,local,0,0,3,3,6,,,4,warmup,ULYLYHTNSTSENZE,NNUZEFLTTSZYYUE,6,H,absent,hH,nN,h,1,0.92363975,n,1,0.566139625,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
10,global,global,0,0,4,4,9,,,5,warmup,YSFHTUSEYZLTZEH,FFETZNYYSLTLEHH,6,U,absent,uU,nN,u,1,0.896547167,n,1,0.479401791,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
2,local,local,3,0,0,0,1,,,6,exp,TZTHUNENLUYSSZL,NZSFLYXESTUNLYE,4,F,X,fF,yY,e,0,0.749808333,y,1,0.996251209,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
10,global,global,0,0,1,1,9,,,7,exp,ZLENSTTUZHYELNU,LYUUFZYTHNNEEZT,5,S,absent,sS,nN,z,0,1.027038458,n,1,0.270254958,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
11,global,global,3,0,2,2,10,,,8,exp,ENSLTFHLXUZHSEN,EHHSUYNLTZZUTNS,6,F,X,fF,yY,f,1,1.171934917,n,0,0.5100235,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
12,global,global,7,0,3,3,11,,,9,exp,YSYUHLZFZTXHFST,SZFNEHZYTETLLFH,4,U,X,uU,yY,u,1,0.96602825,y,1,0.283666375,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
6,local,global,7,0,4,4,5,,,10,exp,EFNLZYNUHZXSFSE,FHFTNSHUEZYZUSN,4,T,X,tT,yY,t,1,0.564668917,y,1,0.232380625,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
11,global,global,3,0,5,5,10,,,11,exp,UTTYSHZXNZLLFYH,FUTLETZZNHYFUYH,5,S,X,sS,yY,s,1,0.921569958,n,0,0.380351542,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
5,local,global,3,0,6,6,4,,,12,exp,YSLTZUEXNYFNTLE,ELSUHNNUTTSELYF,5,H,X,hH,yY,h,1,0.599460417,y,1,0.232392125,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
1,local,local,0,0,7,7,0,,,13,exp,NFNHZEUYTHUFYTL,HYHNSUFLELTNYTF,5,S,absent,sS,nN,s,1,0.605766042,y,0,2.67623,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
7,global,local,0,0,8,8,6,,,14,exp,UHZFESHTYENUFYZ,NTZEULHFZUNYHFT,6,S,absent,sS,nN,s,1,1.085816541,n,1,0.234621959,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
2,local,local,3,0,9,9,1,,,15,exp,SLFHHETNYFTUUSY,SHFHUZFLXYLTYTS,6,Z,X,zZ,yY,z,1,0.5701385,y,1,0.295966459,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
5,local,global,3,0,10,10,4,,,16,exp,SUTHNEXZTZLNYUE,NYSFSLENTEZLTUZ,4,F,X,fF,yY,f,1,0.392689333,y,1,0.047325167,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
12,global,global,7,0,11,11,11,,,17,exp,UTYZUHSEHEXNLTY,HSSFTEYLTUNHELY,4,Z,X,zZ,yY,z,1,0.724951875,y,1,0.131384584,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
9,global,local,7,1,0,12,8,,,18,exp,HLZETFFYUHELNNU,ZHYFSELFZNHXUEY,5,T,X,tT,yY,t,1,2.332666875,y,1,0.3731905,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
1,local,local,0,1,1,13,0,,,19,exp,ULSEFZTYNFETULY,SSYETHLTUNYNULE,6,H,absent,hH,nN,h,1,0.938669334,n,1,0.141507375,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
12,global,global,7,1,2,14,11,,,20,exp,TNYLFHZYTUXEZUH,YHZSFUEHNETNTFZ,4,L,X,lL,yY,l,1,0.862275458,y,1,0.208390792,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
5,local,global,3,1,3,15,4,,,21,exp,SZTFYNXYTHNEELS,NTZUEELHLHSYZSY,4,U,X,uU,yY,u,1,0.414056584,y,1,0.208922208,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
5,local,global,3,1,4,16,4,,,22,exp,ZHZLTUTHXNEYNEF,ZYLFNSYHFZTLEHN,6,S,X,sS,yY,s,1,0.508074792,y,1,0.229329625,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
12,global,global,7,1,5,17,11,,,23,exp,EEUUNYFFZHTSXST,NEUZTLHSNUFESTF,6,Y,X,yY,yY,y,1,1.541851875,y,1,0.363111583,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
7,global,local,0,1,6,18,6,,,24,exp,NYLHSZEENUHYFUF,NFYNHTYELULSSUH,6,Z,absent,zZ,nN,z,1,0.892456041,n,1,0.767272292,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
4,local,global,0,1,7,19,3,,,25,exp,ZLYUFHSNYSNLHFZ,NYSTFZEESHYNLZL,4,T,absent,tT,nN,t,1,0.984698667,n,1,0.295960666,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
6,local,global,7,1,8,20,5,,,26,exp,UHEFUZZYSLXLTTS,SSLNTZLYHEEYZUT,4,N,X,nN,yY,n,1,1.182484417,n,0,0.088048042,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
2,local,local,3,1,9,21,1,,,27,exp,TUYFHENNYLESUTS,YYTZENXEHSNSULT,4,Z,X,zZ,yY,z,1,0.896102875,n,0,0.219984417,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
10,global,global,0,1,10,22,9,,,28,exp,ETLFTLESHZHUYZS,UYYNSHZLEHLUEST,4,F,absent,fF,nN,f,1,0.9133175,n,1,0.223833417,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
2,local,local,3,1,11,23,1,,,29,exp,HNHYELTZFUZYUFT,UZUTHSZYXTFEHNN,6,S,X,sS,yY,s,1,0.891399375,n,0,0.297151208,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
8,global,local,3,2,0,24,7,,,30,exp,SZTTLFZYSEFEUHY,ZYUYNZEXEFUTHSS,5,L,X,lL,yY,l,1,0.495901917,y,1,0.15430925,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
1,local,local,0,2,1,25,0,,,31,exp,UHTZLHSYZSENUEN,ESYYFHHEUTZSNZU,5,F,absent,fF,nN,h,0,0.856497625,n,1,0.121921916,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
3,local,local,7,2,2,26,2,,,32,exp,YSYHEHLNNTSFULT,NUNYZFSTHLFXULH,5,Z,X,zZ,yY,e,0,1.492852208,n,0,0.054657583,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
3,local,local,7,2,3,27,2,,,33,exp,FHTUSLLEFYTYZZE,TZFYNHYFEZUXLHU,5,N,X,nN,yY,n,1,2.992233208,n,0,0.009998958,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
6,local,global,7,2,4,28,5,,,34,exp,NUEZYHSUEFSZXTN,YNSFTLENUYUFZTS,6,L,X,lL,yY,l,1,1.733015625,n,0,1.094058042,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
12,global,global,7,2,5,29,11,,,35,exp,LNSSEHTFTUYEXLU,ETSLYZTEUNLUFSY,6,H,X,hH,yY,h,1,0.866093,y,1,0.36608875,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
1,local,local,0,2,6,30,0,,,36,exp,SZLHUFFUTYSTNZL,NULEUZTSTYLNYFZ,4,E,absent,eE,nN,e,1,1.105412083,n,1,0.372617167,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
10,global,global,0,2,7,31,9,,,37,exp,YYLEZSEHHFNNFLS,FEHHTNEUYSULLNF,5,Z,absent,zZ,nN,z,1,0.843402334,n,1,0.29523175,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
2,local,local,3,2,8,32,1,,,38,exp,ZFLYNHFUSUELYES,LYFZTEZXSUFSHLE,5,T,X,tT,yY,t,1,1.534162083,n,0,0.147160917,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
8,global,local,3,2,9,33,7,,,39,exp,LFYEHUETLNHYTSF,ESFNTZYLXSLHFYH,6,U,X,uU,yY,u,1,0.96828175,n,0,0.113054792,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
4,local,global,0,2,10,34,3,,,40,exp,ZEEUYFZHLHSUSLF,ZUEUTSHHFLSENZL,5,T,absent,tT,nN,t,1,0.7095305,y,0,0.211041041,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
12,global,global,7,2,11,35,11,,,41,exp,HELULNTYHEXZSYZ,SEYFNHSTZLHYZLN,4,U,X,uU,yY,u,1,0.634694333,y,1,0.110123541,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
10,global,global,0,3,0,36,9,,,42,exp,YFLSNLYUUHHTFSZ,FUSFEYTHYLHTSLZ,5,N,absent,nN,nN,n,1,1.01469225,n,1,0.572460833,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
12,global,global,7,3,1,37,11,,,43,exp,LUSZELYFSZTXUHF,FUYTNTFLYSHUZLS,5,E,X,eE,yY,e,1,0.982952625,y,1,0.228903708,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
8,global,local,3,3,2,38,7,,,44,exp,EYSULNHNEFZLSYZ,FLZTELXHNFZYNSE,4,U,X,uU,yY,u,1,1.259631084,y,1,0.2967335,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
10,global,global,0,3,3,39,9,,,45,exp,TENLFHSZUTLNUHZ,NLNHYEZUSSHTETZ,5,F,absent,fF,nN,f,1,1.112615875,n,1,0.739304916,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
5,local,global,3,3,4,40,4,,,46,exp,HELUSZEXNYZFYUN,UYUNTZZHEEHFNLL,5,T,X,tT,yY,t,1,0.477910791,y,1,0.155226667,RSVPLG01,0.94,2023-09-12-22:46:04,907,1,Experiment,2023-09-12_15h59.54.758
