row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime
2,local,local,3,0,0,0,1,,,1,warmup,ELZFNFTZYUETHHL,UFUHSHLXTYTELEY,5,S,X,sS,yY,n,0,4.4831843,n,0,3.2310497,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
11,global,global,3,0,1,1,10,,,2,warmup,FYNUEHEUXSLLZFZ,ESLYETUSLUNFZFN,6,H,X,hH,yY,h,1,1.2498565,y,1,0.6498948,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
5,local,global,3,0,2,2,4,,,3,warmup,UZSHUNLLXYSFHEE,FHYZHTZFEUSLULE,6,T,X,tT,yY,n,0,3.9466086,n,0,0.2816279,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
7,global,local,0,0,3,3,6,,,4,warmup,FLNZTETSYLHNFYS,HELUTFTSELHNSYY,4,Z,absent,zZ,nN,z,1,2.0187906,n,1,1.7215737,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
1,local,local,0,0,4,4,0,,,5,warmup,NFEYUHLTFSYSNTH,YSHEZTSLTFYFHEL,5,Z,absent,zZ,nN,h,0,2.4029533,y,0,0.264344,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
8,global,local,3,0,0,0,7,,,6,exp,NYNFZUHLTEYZHLT,ZTLSYEXTHNNUEZH,4,F,X,fF,yY,f,1,1.6552366,n,0,0.6333137,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
2,local,local,3,0,1,1,1,,,7,exp,FHEZYNETSFUSYUT,TZTUSLZEXHHFFEU,6,L,X,lL,yY,n,0,1.2329367,n,0,0.0091144,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
8,global,local,3,0,2,2,7,,,8,exp,FNHTUZYSSNFYUZL,LUZENYXUSYHLNSH,4,T,X,tT,yY,t,1,1.0021702,n,0,0.9105434,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
8,global,local,3,0,3,3,7,,,9,exp,STHNTEEUZZFSYUF,TFELSSXZFHEUUTY,4,N,X,nN,yY,n,1,1.0531129,y,1,0.425266,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
11,global,global,3,0,4,4,10,,,10,exp,SLHNLZXEHTSFETZ,EFTYHHSSLUUTLFE,4,N,X,nN,yY,n,1,0.8730858,n,0,0.2325063,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
9,global,local,7,0,5,5,8,,,11,exp,ZZFTEYFLTLENHNH,EFNZLSFTUTLUXHE,6,Y,X,yY,yY,y,1,0.7785798,n,0,0.3465748,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
5,local,global,3,0,6,6,4,,,12,exp,LUZSTLUXHYFHEYF,YHFENUZYUSELHSZ,5,N,X,nN,yY,t,0,0.4462732,n,0,0.9366864,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
10,global,global,0,0,7,7,9,,,13,exp,TTLZHNNSYESEHLU,HTNFUYETYSHLNUE,4,Z,absent,zZ,nN,z,1,1.385066,n,1,0.421421,RSVPLG01,0.94,2023-09-12-22:23:43,917,1,Experiment,2023-09-12_15h44.45.586
