row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime
2,local,local,3,0,0,0,1,,,1,warmup,ELNFZELHTUTYYNU,TLUESNNXEYHFTFY,5,S,X,sS,yY,z,0,1.0249744,n,0,0.1747222,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
3,local,local,7,0,1,1,2,,,2,warmup,ZSYENTUZTULLYFF,LYLHFUNSFZXYTTZ,4,H,X,hH,yY,h,1,0.9254599,n,0,0.7847087,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
4,local,global,0,0,2,2,3,,,3,warmup,FLNTSZLSUYEZFNY,SFYHULEFZYEZNNS,4,H,absent,hH,nN,t,0,1.0026197,n,1,0.0195164,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
5,local,global,3,0,3,3,4,,,4,warmup,UUYZTFTLXHLSZNH,HYNLTEZTUZLSNHS,6,E,X,eE,yY,f,0,0.8507808,n,0,0.0706372,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
6,local,global,7,0,4,4,5,,,5,warmup,FFSYYLENHNETXTU,YETEHZUSFYNUHNT,6,Z,X,zZ,yY,l,0,0.9877928,y,1,0.197423,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
9,global,local,7,0,0,0,8,,,6,exp,HTFUENZEYNFTSSY,NFELFETZSTXZYSH,4,U,X,uU,yY,u,1,0.587377,y,1,0.1156416,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
3,local,local,7,0,1,1,2,,,7,exp,TLYHSFEUYEHTLUF,HHEUNELTFTYXUYF,5,N,X,nN,yY,s,0,1.0176347,n,0,0.140117,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
9,global,local,7,0,2,2,8,,,8,exp,YELSLZENFHNFYSU,UEESHTLFYHNFXUY,6,Z,X,zZ,yY,z,1,0.8244219,n,0,0.2267646,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
2,local,local,3,0,3,3,1,,,9,exp,FTHYEZNNYULLTUF,ZLFUSTTXLZYUYHF,5,S,X,sS,yY,z,0,1.1998921,n,0,0.1371173,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
3,local,local,7,0,4,4,2,,,10,exp,SHYLENZFHYTTESZ,YFZUNEYHNEXFTZS,4,U,X,uU,yY,l,0,1.1721817,n,0,0.1838106,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
3,local,local,7,0,5,5,2,,,11,exp,HUELHETSTYNSUYF,YUHZTNTSYFXHUNF,4,Z,X,zZ,yY,l,0,0.9081602,y,1,0.1770036,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
11,global,global,3,0,6,6,10,,,12,exp,TNYUZESXUHLHELY,LEEYFYULUHSNTSH,5,Z,X,zZ,yY,z,1,0.9551932,n,0,0.1197391,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
6,local,global,7,0,7,7,5,,,13,exp,ZHFYZNNFULXSLTS,HLSENUSNUTHFFTL,4,E,X,eE,yY,y,0,0.8240237,y,1,0.1060408,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
5,local,global,3,0,8,8,4,,,14,exp,YTLSZFSXLYHHUEF,FLLTNYHTYSUSHUE,5,N,X,nN,yY,z,0,1.1653347,y,1,0.1135117,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
10,global,global,0,0,9,9,9,,,15,exp,SFLHEFNLYZYTTZN,LHFYUTSLZNNHTFS,5,E,absent,eE,nN,e,1,1.0770353,y,0,0.2291299,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
3,local,local,7,0,10,10,2,,,16,exp,FUTYULESSYTFNZE,FNTEYHFUZNUSXSZ,6,H,X,hH,yY,l,0,0.8381721,y,1,0.1978127,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
8,global,local,3,0,11,11,7,,,17,exp,SNSHNTFUFZYZEYT,YZYLNTXNEUZFEUS,4,H,X,hH,yY,n,0,1.0710925,y,1,0.6814831,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
6,local,global,7,1,0,12,5,,,18,exp,UHEYLTUHZSXTZES,TELNUSHZSFEZFUT,4,N,X,nN,yY,y,0,0.8529087,y,1,0.0032686,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
10,global,global,0,1,1,13,9,,,19,exp,TTZNLHSEZLEFHUF,HTUYUEFHZSLESTF,4,N,absent,nN,nN,z,0,1.8406529,y,0,0.0587301,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
4,local,global,0,1,2,14,3,,,20,exp,ENFZHUNSFZTEHYS,FETSELHFHYZNTSN,6,L,absent,lL,nN,u,0,0.3293586,y,0,0.2268309,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
5,local,global,3,1,3,15,4,,,21,exp,EYZFTLFXULSZUHH,FLYYNFSEHUEZHZS,5,N,X,nN,yY,t,0,0.7775108,y,1,0.9035508,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
3,local,local,7,1,4,16,2,,,22,exp,HYNSTYNLEEFLTUU,LYLZHFNUNTXHEFE,4,Z,X,zZ,yY,s,0,0.5900853,y,1,0.1950712,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
9,global,local,7,1,5,17,8,,,23,exp,UTESNHTEFLLSFUZ,ETTELYSFFLSUXZZ,6,H,X,hH,yY,h,1,0.9152283,y,1,0.0083175,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
11,global,global,3,1,6,18,10,,,24,exp,SFYLSEXUZEYFHZH,EZFTHSZUYUYHNNF,4,L,X,lL,yY,l,1,1.0937124,y,1,0.1308695,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
7,global,local,0,1,7,19,6,,,25,exp,SYZUHTNEYLENSUL,UTSSFYZUZENETLL,5,H,absent,hH,nN,h,1,1.2513342,n,1,0.2418112,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
1,local,local,0,1,8,20,0,,,26,exp,NSETTYEZHLNZUHU,ZLHENFTHLSNSTZU,6,F,absent,fF,nN,y,0,0.7559916,n,1,0.0903655,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
7,global,local,0,1,9,21,6,,,27,exp,SLYSTFTLNEUEHYH,NSLYHZSNHTTULYE,6,F,absent,fF,nN,f,1,1.6349756,n,1,0.5495971,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
12,global,global,7,1,10,22,11,,,28,exp,YENUSNEZYSXLZFT,SLLHYNZYNZFEFTS,4,U,X,uU,yY,u,1,0.462798,y,1,0.009235,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
2,local,local,3,1,11,23,1,,,29,exp,TZESYNHUYFNEUFT,FUELZFXHYTHUNEZ,4,L,X,lL,yY,z,0,3.0034904,y,1,0.2657458,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
9,global,local,7,2,0,24,8,,,30,exp,ZSTNEULYEYFFLUT,TULHSLSYEFXZETZ,4,N,X,nN,yY,n,1,0.6471186,y,1,0.6141095,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
11,global,global,3,2,1,25,10,,,31,exp,ENLNLZYFXYSFSUT,UFSFEHSYTETLYNU,6,Z,X,zZ,yY,z,1,1.1818697,y,1,0.2362334,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
1,local,local,0,2,2,26,0,,,32,exp,ZZLTSYNLTUFFHUN,USHTFENZUNZLHLS,6,E,absent,eE,nN,y,0,1.0768539,n,1,0.1467289,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
11,global,global,3,2,3,27,10,,,33,exp,HYZSLNXYHLFUUEE,HELTFZNYEHZFUYN,4,S,X,sS,yY,z,0,9.5253136,y,1,0.6018111,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
5,local,global,3,2,4,28,4,,,34,exp,LETNYFSXEHFHUNL,FSUNZUTSTFELEHN,5,Z,X,zZ,yY,y,0,0.9536829,y,1,0.0340311,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
11,global,global,3,2,5,29,10,,,35,exp,TNHLYFUXZUSHLFS,TSFFENHTLUHZZLS,5,Y,X,yY,yY,y,1,0.8646925,n,0,0.2123071,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
11,global,global,3,2,6,30,10,,,36,exp,YNHULTXENYFHFLS,LYNZSSYETEFLTHH,4,U,X,uU,yY,u,1,0.8112075,n,0,0.1375643,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
10,global,global,0,2,7,31,9,,,37,exp,HNLYSETSLEFZHNZ,NESUFZLTNHZLEHS,4,Y,absent,yY,nN,y,1,0.9617516,n,1,0.084041,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
4,local,global,0,2,8,32,3,,,38,exp,LUFZUYSNSHENHLF,UFNLHTZUSSZHELN,6,T,absent,tT,nN,n,0,0.407692,n,1,2.888948,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
7,global,local,0,2,9,33,6,,,39,exp,EZESUFTUYLTHHFY,EUYNUHTFZELFYLZ,4,S,absent,sS,nN,s,1,2.3600293,y,0,0.9941854,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
9,global,local,7,2,10,34,8,,,40,exp,NNTZSSEYUHFTUHF,NHFLTHUNYSXUESY,4,Z,X,zZ,yY,z,1,1.2286655,y,1,0.2427227,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
7,global,local,0,2,11,35,6,,,41,exp,EHFLSNFTHZTUEUZ,HFZYSEFUTUTESZN,4,L,absent,lL,nN,l,1,1.1543044,y,0,0.2060367,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
8,global,local,3,3,0,36,7,,,42,exp,ZYZSUFNUFEYEHLL,YZLTNEXHHEULUFY,4,S,X,sS,yY,s,1,1.1026237,n,0,0.3408864,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
8,global,local,3,3,1,37,7,,,43,exp,NZZHHLSTSENUTUF,EFSFEYTSXZUNHTN,6,L,X,lL,yY,l,1,0.7682955,y,1,0.2035214,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
7,global,local,0,3,2,38,6,,,44,exp,YNUENTSLHTHUZZL,THLFUZYTYZUNSNL,4,E,absent,eE,nN,f,0,1.2739762,n,1,0.1187635,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
12,global,global,7,3,3,39,11,,,45,exp,TZTHUYLZUEXFNFY,TFUSLYLZNUYZNEE,4,H,X,hH,yY,h,1,1.0519624,y,1,0.0994259,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
1,local,local,0,3,4,40,0,,,46,exp,HLSFTSNTEUHLYEN,YYTZLSTHUULESEN,4,Z,absent,zZ,nN,f,0,1.216763,n,1,0.3305153,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
9,global,local,7,3,5,41,8,,,47,exp,YZNNSTZLULHSHYU,ZHLSLEUFFZYNXYU,6,T,X,tT,yY,t,1,0.8396001,y,1,0.507747,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
12,global,global,7,3,6,42,11,,,48,exp,LTFYSNUHEFLYXSU,HLTSFZUSEHLUTYF,6,N,X,nN,yY,n,1,1.2978414,y,1,0.2569277,RSVPLG01,0.94,2023-09-12-22:34:49,918,1,Experiment,2023-09-12_16h16.04.143
