row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime
6,local,global,7,0,0,0,5,,,1,warmup,FLYHNSZTEZXYSFE,YLLUFESSNNEZFTZ,4,U,X,uU,yY,h,0,0.881455389,y,1,0.055946989,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
8,global,local,3,0,1,1,7,,,2,warmup,LHEHSELYUNYUTTZ,UYTHFENXLZZHETN,5,S,X,sS,yY,s,1,0.80101122,y,1,0.02315857,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
2,local,local,3,0,2,2,1,,,3,warmup,TTFNEUNUYZLSSZF,NFYZHLYXFTUNUSL,5,H,X,hH,yY,h,1,0.925794091,n,0,0.33327334,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
1,local,local,0,0,3,3,0,,,4,warmup,LSEUHHTEYTYLZSN,LHZFLYZYETNSNEH,4,F,absent,fF,nN,f,1,0.770077324,n,1,0.816360807,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
10,global,global,0,0,4,4,9,,,5,warmup,HFLTYUSZFTNSHZY,LTFTYESYZHZNNHS,6,U,absent,uU,nN,u,1,0.752404213,n,1,0.350643516,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
4,local,global,0,0,0,0,3,,,6,exp,ZSEFSLTEULNTUNY,TSEHZZLUSLTYNEU,4,H,absent,hH,nN,h,1,0.802653062,n,1,0.270652651,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
12,global,global,7,0,1,1,11,,,7,exp,ZSEUHYESLFXYNFL,ZYFTLSHNENSFHZE,4,U,X,uU,yY,u,1,0.725238083,y,1,0.055496846,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
4,local,global,0,0,2,2,3,,,8,exp,ENULUTSSFNYYLHH,ULYHEZLEFUNYHNS,6,Z,absent,zZ,nN,t,0,0.744643403,y,0,0.238749098,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
1,local,local,0,0,3,3,0,,,9,exp,SHLTETHFLZFSZNU,HZFUYTSLUSNFTHZ,5,Y,absent,yY,nN,e,0,1.890491972,n,1,0.321224111,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
12,global,global,7,0,4,4,11,,,10,exp,LYEYFZLFHNUEXNH,FHUFUTYNSNESLLE,6,Z,X,zZ,yY,z,1,0.604213408,y,1,0.276826167,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
11,global,global,3,0,5,5,10,,,11,exp,HSYTLZNXUETYHZU,UTHUFEEZNTHYZNS,5,L,X,lL,yY,l,1,0.655890971,y,1,0.160575407,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
11,global,global,3,0,6,6,10,,,12,exp,ZYTNTSLLXUEYNHZ,HZYUUFNNYZETLHL,6,S,X,sS,yY,s,1,0.663348318,y,1,0.033420865,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
9,global,local,7,0,7,7,8,,,13,exp,UYLUSLZZFEFNYTN,FZTEHYFLUENXZUN,5,S,X,sS,yY,s,1,1.554194547,y,1,1.197891217,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
1,local,local,0,0,8,8,0,,,14,exp,LUFSEHZEYYFTLTZ,TTSESNUZEFYYULZ,6,N,absent,nN,nN,n,1,0.749063405,y,0,1.616127386,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
10,global,global,0,0,9,9,9,,,15,exp,ZUZHENTEYFUYTFH,YZSHFLUEUEHFZTY,6,N,absent,nN,nN,n,1,0.819393312,n,1,0.230790464,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
11,global,global,3,0,10,10,10,,,16,exp,EFYUSZXFEHSNTYH,NSTLFYHZEFHSTYE,4,U,X,uU,yY,l,0,0.602093426,n,0,0.303265032,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
10,global,global,0,0,11,11,9,,,17,exp,LSUUYNEZLSFHHNZ,UFESTFHNUNEZLLS,5,Y,absent,yY,nN,y,1,0.797501951,n,1,0.08247532,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
10,global,global,0,1,0,12,9,,,18,exp,STNFSEZTNHYYFHZ,ZFNTYLNSUHFZYST,6,E,absent,eE,nN,f,0,1.086102848,n,1,0.594855001,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
11,global,global,3,1,1,13,10,,,19,exp,NHELFEUXYUSHTTN,NSYNZYLUTSUETEL,5,F,X,fF,yY,f,1,1.452957414,y,1,0.24154077,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
6,local,global,7,1,2,14,5,,,20,exp,USETSFTYNUNZXLL,TYUZTHENSYNLULZ,6,H,X,hH,yY,h,1,0.937015064,y,1,0.012788538,RSVPLG01,0.94,2023-09-12-22:58:04,903,1,Experiment,2023-09-12_16h01.50.141
