exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,1,20251020-101546,local,global,750,S,S,A,E,A-S.png,S-E.png,sS,sS,mask-1.png,mask-4.png,s,1,4.647777199978009,none,-5,0,0.09460070007480681,0.09865160007029772,0.19592640013433993,0.20126660005189478,0.7484381999820471
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,2,20251020-101555,global,global,750,S,H,E,A,S-E.png,H-A.png,sS,hH,mask-2.png,mask-1.png,h,0,2.937563000014052,none,-5,0,0.09748329990543425,0.09770929999649525,0.2013298999518156,0.19964180001989007,0.7524772000033408
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,3,20251020-101602,global,local,750,S,S,A,A,S-A.png,A-S.png,sS,sS,mask-4.png,mask-3.png,s,1,0.9737801998853683,none,-5,0,0.09764149994589388,0.09738239995203912,0.20134549983777106,0.201516899978742,0.7519829999655485
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,4,20251020-101607,local,local,750,H,S,E,A,E-H.png,A-S.png,hH,sS,mask-4.png,mask-2.png,h,1,5.474358499981463,none,-5,0,0.09765240014530718,0.0971420998685062,0.20062140002846718,0.2009202998597175,0.7516255001537502
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,5,20251020-101616,global,local,750,S,H,A,E,S-A.png,E-H.png,sS,hH,mask-1.png,mask-1.png,h,0,0.7669803998433053,none,-5,0,0.0973187000490725,0.09797800006344914,0.19921440002508461,0.20178390014916658,0.7511460999958217
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,6,20251020-101621,local,local,750,S,H,A,A,A-S.png,A-H.png,sS,hH,mask-4.png,mask-1.png,s,1,1.0327568999491632,none,-5,0,0.09619509987533092,0.09750179992988706,0.2006043998990208,0.19937569997273386,0.7522565999533981
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,7,20251020-101627,global,global,750,S,H,A,A,S-A.png,H-A.png,sS,hH,mask-1.png,mask-3.png,s,1,1.4319953999947757,none,-5,0,0.09841249999590218,0.09738159994594753,0.19916300009936094,0.19914439995773137,0.752438300056383
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,8,20251020-101632,local,global,750,S,H,A,E,A-S.png,H-E.png,sS,hH,mask-4.png,mask-1.png,s,1,0.47489940002560616,none,-5,0,0.09871829999610782,0.09754189988598228,0.20094859995879233,0.2013119999319315,0.7526477000210434
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,9,20251020-101637,local,global,750,H,H,E,E,E-H.png,H-E.png,hH,hH,mask-1.png,mask-3.png,h,1,0.41257769986987114,none,-5,0,0.09746680012904108,0.09800889994949102,0.20051620015874505,0.2012062999419868,0.7522225000429899
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,10,20251020-101642,global,global,750,H,S,A,A,H-A.png,S-A.png,hH,sS,mask-2.png,mask-3.png,s,0,1.4735115999355912,none,-5,0,0.09748470014892519,0.09759370004758239,0.2005304000340402,0.2014723001047969,0.752299000043422
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,11,20251020-101647,global,local,750,H,H,E,A,H-E.png,A-H.png,hH,hH,mask-2.png,mask-3.png,h,1,0.931944299954921,none,-5,0,0.0984678000677377,0.09708119998686016,0.19999100011773407,0.20000879978761077,0.752430000109598
RSVPLG03,JM,20251020-101458,1.0.1,20251020-085245,704,Introduction,T1,1,Automatic,main,12,20251020-101652,local,global,750,S,S,A,A,A-S.png,S-A.png,sS,sS,mask-2.png,mask-2.png,s,1,0.3926375999581069,none,-5,0,0.09852540004067123,0.09724800009280443,0.2000740000512451,0.19999320013448596,0.7518575999420136
