exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,1,20260319-155224,global,global,750,S,S,E,A,S-E.png,S-A.png,sS,sS,mask-4.png,mask-4.png,s,1,1.026625200000126,none,-5,0,0.09261720001813956,0.10157410000101663,0.19265989999985322,0.20058249999419786,0.7406867000099737
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,2,20260319-155229,local,global,750,H,H,A,A,A-H.png,H-A.png,hH,hH,mask-4.png,mask-2.png,h,1,1.768271899985848,none,-5,0,0.09865090000675991,0.09834050000063144,0.20060869998997077,0.19951330000185408,0.7496555999969132
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,3,20260319-155235,local,local,750,H,H,E,A,E-H.png,A-H.png,hH,hH,mask-2.png,mask-2.png,h,1,1.6767619000165723,none,-5,0,0.09889600001042709,0.0986302999954205,0.19846850002068095,0.1989641000109259,0.7484348000143655
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,4,20260319-155241,local,local,750,H,S,E,A,E-H.png,A-S.png,hH,sS,mask-4.png,mask-2.png,h,1,2.6176462000003085,none,-5,0,0.10118240001611412,0.1001754000026267,0.20001309999497607,0.20000460001756437,0.7499565999896731
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,5,20260319-155247,global,global,750,S,H,A,A,S-A.png,H-A.png,sS,hH,mask-3.png,mask-4.png,s,1,3.4920272000017576,none,-5,0,0.09833310000249185,0.1016929000033997,0.19730470000649802,0.20171850000042468,0.7458294999960344
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,6,20260319-155255,global,local,750,H,H,A,E,H-A.png,E-H.png,hH,hH,mask-2.png,mask-4.png,h,1,2.340203500003554,none,-5,0,0.0997514000046067,0.10033370001474395,0.1986378000001423,0.19949369999812916,0.7481330999871716
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,7,20260319-155302,global,global,750,H,S,A,E,H-A.png,S-E.png,hH,sS,mask-3.png,mask-4.png,s,0,0.7991436000156682,none,-5,0,0.10142910000286065,0.09997810001368634,0.20017379999626428,0.20055549999233335,0.7482789999921806
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,8,20260319-155307,local,local,750,S,S,E,A,E-S.png,A-S.png,sS,sS,mask-3.png,mask-1.png,s,1,0.8721214999968652,none,-5,0,0.10090600000694394,0.10034129998530261,0.20045720000052825,0.1990032999892719,0.7509271000162698
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,9,20260319-155312,global,local,750,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-1.png,mask-2.png,s,1,0.9545127999735996,none,-5,0,0.10076590001699515,0.10002549999626353,0.20093369999085553,0.20142789999954402,0.748620900005335
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,10,20260319-155317,global,local,750,S,S,E,A,S-E.png,A-S.png,sS,sS,mask-3.png,mask-3.png,s,1,1.2543078000016976,none,-5,0,0.10056730001815595,0.1009360000025481,0.20020260001183487,0.20178470000973903,0.7483328999951482
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,11,20260319-155322,local,local,750,S,H,A,E,A-S.png,E-H.png,sS,hH,mask-2.png,mask-2.png,s,1,0.696866999991471,none,-5,0,0.10015899999416433,0.09905209997668862,0.20074790000217035,0.19945089999237098,0.749838500021724
RSVPLG03,si,20260319-155157,1.0.2,20260219-152011,808,Introduction,T1,1,Automatic,main,12,20260319-155327,local,global,750,S,S,A,E,A-S.png,S-E.png,sS,sS,mask-4.png,mask-2.png,none,-6,0,none,-5,0,0.09855970001081005,0.10033259997726418,0.1986073000007309,0.1992669999890495,0.7484963000169955
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,1,20260319-155359,global,global,300,S,H,E,A,S-E.png,H-A.png,sS,hH,mask-2.png,mask-3.png,s,1,3.55757169998833,none,-5,0,0.05057160000433214,0.047533600009046495,0.10059630000614561,0.09813520000898279,0.30316929999389686
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,2,20260319-155406,local,global,750,H,H,A,A,A-H.png,H-A.png,hH,hH,mask-4.png,mask-3.png,h,1,1.591233100014506,none,-5,0,0.05062080000061542,0.051818200008710846,0.10050900001078844,0.1008282000257168,0.7513742999872193
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,3,20260319-155412,local,local,300,S,S,A,E,A-S.png,E-S.png,sS,sS,mask-2.png,mask-4.png,s,1,1.6695971000008285,none,-5,0,0.05469650001032278,0.050790099980076775,0.10045080000418238,0.10026559999096207,0.3012188000138849
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,4,20260319-155417,global,local,750,H,H,A,E,H-A.png,E-H.png,hH,hH,mask-2.png,mask-3.png,h,1,1.5982504000130575,none,-5,0,0.0500795999832917,0.05103360000066459,0.10013559999060817,0.1009728999924846,0.7516854999994393
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,5,20260319-155423,local,global,300,S,S,E,E,E-S.png,S-E.png,sS,sS,mask-4.png,mask-1.png,s,1,0.5002137999981642,none,-5,0,0.04885469999862835,0.04953600000590086,0.09789749997435138,0.10203720000572503,0.29919399999198504
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,6,20260319-155427,local,local,750,H,H,A,E,A-H.png,E-H.png,hH,hH,mask-1.png,mask-2.png,h,1,0.9289578000025358,none,-5,0,0.051291099982336164,0.052104099973803386,0.10218499999609776,0.10144769999897107,0.7511825000110548
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,7,20260319-155432,global,global,300,S,S,A,A,S-A.png,S-A.png,sS,sS,mask-1.png,mask-1.png,s,1,0.4981841999979224,none,-5,0,0.04958520000218414,0.050955899991095066,0.0994838000042364,0.1008758999814745,0.30048550001811236
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,8,20260319-155436,local,global,750,S,S,A,E,A-S.png,S-E.png,sS,sS,mask-2.png,mask-4.png,s,1,0.4687485000176821,none,-5,0,0.050890800019260496,0.0510634999955073,0.10252360001322813,0.10090900000068359,0.752336200006539
RSVPLG03,si,20260319-155342,1.0.2,20260219-152011,808,Practice,T1,1,Automatic,main,9,20260319-155441,global,local,300,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-1.png,mask-4.png,s,1,0.5823904999997467,none,-5,0,0.05050660000415519,0.051385699975071475,0.101733499992406,0.09951419997378252,0.302239600016037
