exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,1,20260218-131409,global,local,750,H,H,E,E,H-E.png,E-H.png,hH,hH,mask-1.png,mask-4.png,h,1,4.69794400036335,none,-5,0,0.09143360052257776,0.09784630034118891,0.19452730007469654,0.20123550016433,0.7429251000285149
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,2,20260218-131418,local,local,750,H,S,E,E,E-H.png,E-S.png,hH,sS,mask-4.png,mask-4.png,s,0,2.4132481003180146,none,-5,0,0.09656600002199411,0.09716439992189407,0.19860710017383099,0.2003619996830821,0.7495109001174569
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,3,20260218-131425,local,local,750,S,S,A,E,A-S.png,E-S.png,sS,sS,mask-1.png,mask-3.png,h,0,1.7706621997058392,none,-5,0,0.09746879991143942,0.09743910003453493,0.20048199966549873,0.19957489985972643,0.7498693000525236
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,4,20260218-131431,global,global,750,H,S,A,E,H-A.png,S-E.png,hH,sS,mask-2.png,mask-3.png,h,1,1.8366681998595595,none,-5,0,0.09861649945378304,0.09767259936779737,0.2017819993197918,0.20060910005122423,0.7500617001205683
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,5,20260218-131437,global,global,750,S,H,E,A,S-E.png,H-A.png,sS,hH,mask-4.png,mask-2.png,s,1,0.8457773998379707,none,-5,0,0.09771090000867844,0.09954580012708902,0.19994280021637678,0.20072370022535324,0.7495689000934362
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,6,20260218-131442,local,local,750,S,S,A,E,A-S.png,E-S.png,sS,sS,mask-3.png,mask-4.png,h,0,1.397177499718964,none,-5,0,0.09750489983707666,0.0972255002707243,0.19886459968984127,0.20015159994363785,0.749332900159061
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,7,20260218-131447,local,global,750,S,H,A,E,A-S.png,H-E.png,sS,hH,mask-4.png,mask-3.png,s,1,0.6534011997282505,none,-5,0,0.0965289007872343,0.09687149990350008,0.2005537999793887,0.1997419996187091,0.7509994003921747
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,8,20260218-131452,global,local,750,H,H,A,E,H-A.png,E-H.png,hH,hH,mask-1.png,mask-4.png,h,1,0.7797276992350817,none,-5,0,0.09759310074150562,0.09767850022763014,0.19796700030565262,0.20008569955825806,0.7495316006243229
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,9,20260218-131457,global,global,750,H,H,A,E,H-A.png,H-E.png,hH,hH,mask-1.png,mask-3.png,h,1,0.6634664004668593,none,-5,0,0.09724889975041151,0.09678820054978132,0.1996186999604106,0.19975150004029274,0.7501393994316459
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,10,20260218-131502,local,global,750,S,H,E,E,E-S.png,H-E.png,sS,hH,mask-2.png,mask-3.png,s,1,2.362841399386525,none,-5,0,0.09839340019971132,0.09712459985166788,0.20027029979974031,0.19996470026671886,0.7506018001586199
RSVPLG03,cs,20260218-131344,1.0.2,20251105-084826,766,Introduction,T1,1,Automatic,main,11,20260218-131508,global,global,750,H,S,E,E,H-E.png,S-E.png,hH,sS,mask-1.png,mask-3.png,none,-6,0,none,-5,0,0.09570490010082722,0.09685279987752438,0.19878380000591278,0.19994440022855997,0.7487081000581384
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,1,20260218-131546,local,global,300,S,S,E,A,E-S.png,S-A.png,sS,sS,mask-3.png,mask-4.png,s,1,0.8222714001312852,none,-5,0,0.03989230003207922,0.04741030000150204,0.0933838002383709,0.10024870000779629,0.2931156996637583
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,2,20260218-131550,global,local,750,S,H,A,E,S-A.png,E-H.png,sS,hH,mask-3.png,mask-1.png,s,1,0.6526186997070909,none,-5,0,0.04783149994909763,0.046296400018036366,0.10061249975115061,0.09936089999973774,0.7507120994850993
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,3,20260218-131555,global,global,750,S,S,E,E,S-E.png,S-E.png,sS,sS,mask-3.png,mask-3.png,s,1,0.49766660016030073,none,-5,0,0.048032100312411785,0.047424400225281715,0.10124799981713295,0.0988638000562787,0.7512336997315288
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,4,20260218-131600,local,global,750,S,H,E,A,E-S.png,H-A.png,sS,hH,mask-3.png,mask-1.png,s,1,0.5317289000377059,none,-5,0,0.04575890023261309,0.04771630000323057,0.09985220059752464,0.10208689980208874,0.7483260007575154
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,5,20260218-131604,local,global,300,S,S,E,E,E-S.png,S-E.png,sS,sS,mask-2.png,mask-4.png,s,1,0.5666628004983068,none,-5,0,0.046513499692082405,0.04647419974207878,0.10033100005239248,0.09939859993755817,0.3000731999054551
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,6,20260218-131608,local,global,750,H,S,A,E,A-H.png,S-E.png,hH,sS,mask-2.png,mask-4.png,s,0,0.42115100007504225,none,-5,0,0.04761470016092062,0.046497199684381485,0.09877390041947365,0.09951750002801418,0.7512843003496528
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,7,20260218-131613,local,local,750,S,S,E,A,E-S.png,A-S.png,sS,sS,mask-4.png,mask-1.png,s,1,0.4152387995272875,none,-5,0,0.04670030064880848,0.04881829954683781,0.09879370033740997,0.10189840011298656,0.7481187004595995
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,8,20260218-131617,global,global,300,H,H,A,A,H-A.png,H-A.png,hH,hH,mask-3.png,mask-3.png,h,1,0.32204460073262453,none,-5,0,0.04633519984781742,0.046670700423419476,0.09941220004111528,0.09974840003997087,0.30008239950984716
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,9,20260218-131621,local,local,300,S,S,A,A,A-S.png,A-S.png,sS,sS,mask-2.png,mask-2.png,s,1,0.31875079963356256,none,-5,0,0.04768319986760616,0.046951799653470516,0.09927869960665703,0.10006320010870695,0.3000221997499466
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,10,20260218-131625,global,local,750,H,H,E,E,H-E.png,E-H.png,hH,hH,mask-4.png,mask-1.png,s,0,0.48194329999387264,none,-5,0,0.04670039936900139,0.046629699878394604,0.09921769984066486,0.09806079976260662,0.7504028994590044
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,11,20260218-131629,global,global,750,S,H,A,E,S-A.png,H-E.png,sS,hH,mask-1.png,mask-1.png,s,1,0.5433013001456857,none,-5,0,0.046815300360322,0.04610519949346781,0.10112930089235306,0.09919749945402145,0.751043900847435
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,12,20260218-131634,global,local,300,H,S,E,A,H-E.png,A-S.png,hH,sS,mask-4.png,mask-4.png,h,1,0.4157277997583151,none,-5,0,0.04791059996932745,0.04879919998347759,0.09954799991101027,0.09979730006307364,0.29953920003026724
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,13,20260218-131638,local,local,750,H,S,A,A,A-H.png,A-S.png,hH,sS,mask-3.png,mask-2.png,h,1,0.3732512993738055,none,-5,0,0.048763600178062916,0.04737580008804798,0.10125709977000952,0.10133269988000393,0.7502381997182965
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,14,20260218-131642,global,local,300,S,H,A,A,S-A.png,A-H.png,sS,hH,mask-2.png,mask-4.png,s,1,0.7772220000624657,none,-5,0,0.04875340033322573,0.04779620002955198,0.09946580044925213,0.10003670025616884,0.3003414999693632
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,15,20260218-131647,local,local,300,H,S,A,A,A-H.png,A-S.png,hH,sS,mask-4.png,mask-4.png,s,0,0.3288962999358773,none,-5,0,0.04736340045928955,0.04732950031757355,0.0997670004144311,0.09916849993169308,0.2999507999047637
RSVPLG03,cs,20260218-131522,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,16,20260218-131651,global,global,300,S,S,A,A,S-A.png,S-A.png,sS,sS,mask-2.png,mask-2.png,h,0,0.3873206004500389,none,-5,0,0.047516499646008015,0.04753919970244169,0.10023629944771528,0.09879389964044094,0.3000187994912267
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,1,20260218-131731,local,local,300,S,S,E,E,E-S.png,E-S.png,sS,sS,mask-1.png,mask-4.png,s,1,0.930914799682796,none,-5,0,0.04615209996700287,0.04866319987922907,0.0996609004214406,0.10097539983689785,0.2985765002667904
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,2,20260218-131736,local,local,750,S,S,E,E,E-S.png,E-S.png,sS,sS,mask-1.png,mask-1.png,s,1,0.281653200276196,none,-5,0,0.047908500768244267,0.04737430065870285,0.09987600054591894,0.10050190053880215,0.7495924001559615
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,3,20260218-131740,global,global,300,S,H,E,A,S-E.png,H-A.png,sS,hH,mask-3.png,mask-1.png,s,1,0.30626589991152287,none,-5,0,0.04767549969255924,0.04878479987382889,0.09865179937332869,0.09987960010766983,0.2984938994050026
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,4,20260218-131744,local,global,300,S,S,A,A,A-S.png,S-A.png,sS,sS,mask-3.png,mask-4.png,s,1,0.3211517995223403,none,-5,0,0.04812389984726906,0.04913139995187521,0.10113159939646721,0.09934630058705807,0.29979809932410717
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,5,20260218-131748,global,local,750,H,S,A,E,H-A.png,E-S.png,hH,sS,mask-3.png,mask-2.png,h,1,0.6992963002994657,none,-5,0,0.045906299725174904,0.04751939978450537,0.09997839946299791,0.09951370023190975,0.7485136995092034
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,6,20260218-131753,local,local,300,S,S,E,A,E-S.png,A-S.png,sS,sS,mask-2.png,mask-3.png,s,1,0.35096949990838766,none,-5,0,0.04774639941751957,0.04543850012123585,0.09972049947828054,0.09937210008502007,0.3002600995823741
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,7,20260218-131757,global,local,750,H,H,A,E,H-A.png,E-H.png,hH,hH,mask-4.png,mask-4.png,h,1,0.438235099427402,none,-5,0,0.04754429962486029,0.04729800019413233,0.10123019944876432,0.10042749997228384,0.7499414999037981
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,8,20260218-131801,global,global,750,S,H,E,A,S-E.png,H-A.png,sS,hH,mask-1.png,mask-3.png,s,1,0.46652030013501644,none,-5,0,0.04595209937542677,0.04597079940140247,0.09997549932450056,0.10018949955701828,0.7499144999310374
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,9,20260218-131806,local,local,750,S,S,E,A,E-S.png,A-S.png,sS,sS,mask-1.png,mask-2.png,s,1,0.3873500991612673,none,-5,0,0.04752449970692396,0.047573999501764774,0.10186829976737499,0.09974659979343414,0.7504780003800988
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,10,20260218-131810,global,local,300,H,H,E,A,H-E.png,A-H.png,hH,hH,mask-4.png,mask-3.png,h,1,0.2727592997252941,none,-5,0,0.04857810027897358,0.048498399555683136,0.10157779976725578,0.10109850019216537,0.2998163001611829
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,11,20260218-131814,global,global,300,H,S,A,A,H-A.png,S-A.png,hH,sS,mask-2.png,mask-4.png,h,1,0.30220429971814156,none,-5,0,0.04765950050204992,0.04792630020529032,0.09987520053982735,0.10024179983884096,0.29950250033289194
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,12,20260218-131818,global,global,750,H,H,A,E,H-A.png,H-E.png,hH,hH,mask-1.png,mask-1.png,h,1,0.370677700266242,none,-5,0,0.047613900154829025,0.04767419956624508,0.09932859987020493,0.10068659950047731,0.7495490005239844
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,13,20260218-131822,local,global,750,S,H,A,A,A-S.png,H-A.png,sS,hH,mask-2.png,mask-3.png,s,1,0.040247200056910515,none,-5,0,0.04752280004322529,0.04638019949197769,0.09956360049545765,0.09945639967918396,0.7498135007917881
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,14,20260218-131826,local,global,300,S,S,E,A,E-S.png,S-A.png,sS,sS,mask-2.png,mask-4.png,s,1,0.34363439958542585,none,-5,0,0.04720220062881708,0.048880199901759624,0.0993142006918788,0.10104419942945242,0.29805470071733
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,15,20260218-131830,global,local,300,S,S,E,E,S-E.png,E-S.png,sS,sS,mask-4.png,mask-1.png,s,1,0.3810783000662923,none,-5,0,0.047150700353085995,0.047423300333321095,0.1009627003222704,0.1008379003033042,0.2995827002450824
RSVPLG03,cs,20260218-131714,1.0.2,20251105-084826,766,Practice,T1,1,Automatic,main,16,20260218-131834,local,global,750,H,S,A,A,A-H.png,S-A.png,hH,sS,mask-4.png,mask-2.png,s,0,0.3466483000665903,none,-5,0,0.04837870039045811,0.04829449951648712,0.10077250003814697,0.10076870024204254,0.7490488002076745
RSVPLG03,cs,20260218-131924,1.0.2,20251105-084826,766,Practice,Both,1,Automatic,main,1,20260218-131942,local,local,300,S,S,A,E,A-S.png,E-S.png,sS,sS,mask-3.png,mask-2.png,s,1,0.7514260997995734,s,1,2.253566799685359,0.041933199390769005,0.04917739983648062,0.09500529989600182,0.10007170028984547,0.2935352995991707
RSVPLG03,cs,20260218-131924,1.0.2,20251105-084826,766,Practice,Both,1,Automatic,main,2,20260218-131949,global,local,750,H,S,E,E,H-E.png,E-S.png,hH,sS,mask-1.png,mask-4.png,h,1,0.8664409993216395,s,1,0.29908179957419634,0.048317099921405315,0.04837719909846783,0.10024170018732548,0.10049719922244549,0.7500597005710006
