exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,1,20260306-101811,global,global,750,S,H,A,E,S-A.png,H-E.png,sS,hH,mask-4.png,mask-4.png,h,0,7.139837699942291,none,-5,0,0.09624290000647306,0.09655360004398972,0.197162099997513,0.2006606999784708,0.7471576000098139
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,2,20260306-101822,local,local,750,S,H,A,A,A-S.png,A-H.png,sS,hH,mask-2.png,mask-4.png,s,1,0.6642732999753207,none,-5,0,0.09709759999532253,0.09741599997505546,0.19911529996898025,0.2008670000359416,0.748013100004755
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,3,20260306-101827,global,local,750,S,H,A,A,S-A.png,A-H.png,sS,hH,mask-1.png,mask-1.png,h,0,1.7483493000036106,none,-5,0,0.09670830005779862,0.0991057000355795,0.20029560010880232,0.20056540006771684,0.7482930000405759
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,4,20260306-101833,local,local,750,H,S,E,E,E-H.png,E-S.png,hH,sS,mask-1.png,mask-2.png,h,1,1.962816199986264,none,-5,0,0.09589410002809018,0.09841940004844218,0.19910620001610368,0.20041560009121895,0.7476091999560595
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,5,20260306-101839,global,global,750,H,S,A,A,H-A.png,S-A.png,hH,sS,mask-1.png,mask-3.png,s,0,2.5435233999742195,none,-5,0,0.0974705999251455,0.09739909996278584,0.20044349995441735,0.1979132000124082,0.7499691999983042
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,6,20260306-101846,global,global,750,S,H,E,E,S-E.png,H-E.png,sS,hH,mask-4.png,mask-4.png,h,0,1.938061600085348,none,-5,0,0.09743009996600449,0.09774210001341999,0.19869119999930263,0.19925559998955578,0.7477885000407696
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,7,20260306-101852,local,global,750,H,S,E,E,E-H.png,S-E.png,hH,sS,mask-3.png,mask-2.png,s,0,1.3436951000476256,none,-5,0,0.09574620006605983,0.09738920000381768,0.19957529997918755,0.19837540003936738,0.7497297000372782
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,8,20260306-101858,global,local,750,H,H,E,E,H-E.png,E-H.png,hH,hH,mask-4.png,mask-3.png,h,1,0.8783707999391481,none,-5,0,0.09710800007451326,0.09844259999226779,0.19953280000481755,0.20087599998805672,0.7486907000420615
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,9,20260306-101903,global,local,750,H,S,A,E,H-A.png,E-S.png,hH,sS,mask-1.png,mask-2.png,s,0,0.5651571999769658,none,-5,0,0.09841129998676479,0.09767050005029887,0.20043520000763237,0.19958240003325045,0.7484350999584422
RSVPLG03,cs,20260306-101753,1.0.2,20251105-084826,793,Introduction,T1,1,Automatic,main,10,20260306-101907,local,local,750,S,H,E,A,E-S.png,A-H.png,sS,hH,mask-4.png,mask-1.png,s,1,0.2374781999969855,none,-5,0,0.09858360001817346,0.09855180000886321,0.20003409998025745,0.20059240004047751,0.7493395999772474
