exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,1,20260226-161010,global,global,750,S,S,E,E,S-E.png,S-E.png,sS,sS,mask-2.png,mask-1.png,s,1,1.2972688998561352,none,-5,0,0.0950708999298513,0.10018149996176362,0.19544590008445084,0.19913300010375679,0.7457298999652267
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,2,20260226-161016,local,local,750,H,S,A,E,A-H.png,E-S.png,hH,sS,mask-3.png,mask-2.png,s,0,4.935700200032443,none,-5,0,0.09997809980995953,0.10056599997915328,0.20004739984869957,0.19990699994377792,0.7499108000192791
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,3,20260226-161025,local,local,750,H,S,A,A,A-H.png,A-S.png,hH,sS,mask-1.png,mask-2.png,h,1,1.9687022001016885,none,-5,0,0.09947780007496476,0.09906799998134375,0.19943160004913807,0.201116600073874,0.7486852000001818
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,4,20260226-161031,global,global,750,H,H,A,A,H-A.png,H-A.png,hH,hH,mask-1.png,mask-3.png,s,0,2.071969399927184,none,-5,0,0.0998840001411736,0.10023719980381429,0.20177350006997585,0.19923599995672703,0.7515786001458764
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,5,20260226-161037,local,local,750,H,H,E,E,E-H.png,E-H.png,hH,hH,mask-1.png,mask-4.png,s,0,2.8150611999444664,none,-5,0,0.09943120018579066,0.09994359989650548,0.20100850006565452,0.19983959989622235,0.7496731001883745
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,6,20260226-161044,global,global,750,S,H,A,E,S-A.png,H-E.png,sS,hH,mask-3.png,mask-1.png,h,0,1.184039399959147,none,-5,0,0.09838790004141629,0.1000936001073569,0.19786940002813935,0.20106060011312366,0.7476653000339866
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,7,20260226-161050,global,local,750,H,S,E,E,H-E.png,E-S.png,hH,sS,mask-3.png,mask-2.png,s,0,0.668886800063774,none,-5,0,0.09998719999566674,0.0999350999481976,0.20092549989931285,0.19961269991472363,0.7497024999465793
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,8,20260226-161054,global,local,750,S,S,A,A,S-A.png,A-S.png,sS,sS,mask-2.png,mask-2.png,s,1,1.2210943999234587,none,-5,0,0.0992896999232471,0.09910200000740588,0.19908829987980425,0.19916159985587,0.7501056999899447
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,9,20260226-161100,global,local,750,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-4.png,mask-1.png,h,0,0.3870509001426399,none,-5,0,0.09840049990452826,0.09813509997911751,0.19925419986248016,0.1981280001346022,0.7493662999477237
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,10,20260226-161104,local,global,750,S,S,A,E,A-S.png,S-E.png,sS,sS,mask-2.png,mask-4.png,s,1,0.2318602001760155,none,-5,0,0.10094880010001361,0.09922570013441145,0.20019909995608032,0.2001575999893248,0.7498069000430405
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,11,20260226-161109,local,global,750,H,H,A,A,A-H.png,H-A.png,hH,hH,mask-2.png,mask-4.png,s,0,0.9249547000508755,none,-5,0,0.10088669997639954,0.09873279999010265,0.2008690000511706,0.20011680014431477,0.7515871999785304
RSVPLG03,si,20260226-160935,1.0.2,20260219-152011,779,Introduction,T1,1,Automatic,main,12,20260226-161114,local,local,750,S,H,E,A,E-S.png,A-H.png,sS,hH,mask-2.png,mask-2.png,s,1,2.417129199951887,none,-5,0,0.0999511000700295,0.10118360002525151,0.20031840004958212,0.20093410019762814,0.7491570999845862
