exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,1,20251030-120951,global,global,750,S,H,A,E,S-A.png,H-E.png,sS,hH,mask-1.png,mask-1.png,h,0,2.6906897999579087,none,-5,0,0.10065519995987415,0.10079840000253171,0.20068929996341467,0.19985299999825656,0.7509213000303134
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,2,20251030-120958,global,local,750,S,S,E,A,S-E.png,A-S.png,sS,sS,mask-3.png,mask-2.png,s,1,0.9872398000443354,none,-5,0,0.10094389994628727,0.10007010004483163,0.19998099992517382,0.19898800004739314,0.751948699937202
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,3,20251030-121003,global,global,750,H,S,A,A,H-A.png,S-A.png,hH,sS,mask-4.png,mask-4.png,h,1,0.6759947000537068,none,-5,0,0.10092060000170022,0.10122049995698035,0.2000768999569118,0.20215389993973076,0.7491844999603927
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,4,20251030-121008,local,local,750,S,S,E,A,E-S.png,A-S.png,sS,sS,mask-2.png,mask-2.png,s,1,0.4735348999965936,none,-5,0,0.10082459996920079,0.10083879996091127,0.20051469991449267,0.20153610000852495,0.7490793999750167
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,5,20251030-121013,local,global,750,H,S,A,E,A-H.png,S-E.png,hH,sS,mask-3.png,mask-1.png,h,1,0.701188400038518,none,-5,0,0.09988310001790524,0.09934179997071624,0.2002026999834925,0.20012659998610616,0.751348500023596
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,6,20251030-121018,local,local,750,H,S,E,A,E-H.png,A-S.png,hH,sS,mask-4.png,mask-3.png,h,1,2.5546667999587953,none,-5,0,0.10016060003545135,0.099328099982813,0.19872380001470447,0.19933969993144274,0.7504938000347465
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,7,20251030-121024,global,global,750,H,H,E,E,H-E.png,H-E.png,hH,hH,mask-4.png,mask-2.png,h,1,0.49784070008900017,none,-5,0,0.10163579997606575,0.10017939994577318,0.20027039991691709,0.20165629999246448,0.750531499972567
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,8,20251030-121029,global,local,750,H,S,A,E,H-A.png,E-S.png,hH,sS,mask-3.png,mask-2.png,h,1,0.49208659993018955,none,-5,0,0.10239489993546158,0.09751759993378073,0.20238679996691644,0.1994202999630943,0.7523877000203356
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,9,20251030-121034,local,global,750,S,S,A,A,A-S.png,S-A.png,sS,sS,mask-2.png,mask-2.png,s,1,1.3738788000773638,none,-5,0,0.09982390003278852,0.10056120005901903,0.20065819995943457,0.19805540004745126,0.7509143999777734
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,10,20251030-121039,local,global,750,H,S,A,A,A-H.png,S-A.png,hH,sS,mask-3.png,mask-2.png,h,1,0.5518572001019493,none,-5,0,0.09968909993767738,0.10017400002107024,0.19942799990531057,0.19910939992405474,0.750866899965331
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,11,20251030-121044,global,local,750,S,S,E,E,S-E.png,E-S.png,sS,sS,mask-2.png,mask-3.png,s,1,0.4306984000140801,none,-5,0,0.09952079993672669,0.09907180001027882,0.20011529990006238,0.19991739990655333,0.749463599990122
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,12,20251030-121049,global,global,750,S,S,A,A,S-A.png,S-A.png,sS,sS,mask-1.png,mask-4.png,s,1,1.1825670999241993,none,-5,0,0.10036300006322563,0.09968909993767738,0.19937630009371787,0.19952119991648942,0.7498125000856817
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,13,20251030-121054,local,local,750,S,S,E,E,E-S.png,E-S.png,sS,sS,mask-2.png,mask-4.png,s,1,0.6055006999522448,none,-5,0,0.09950669994577765,0.10078169999178499,0.20011149998754263,0.20134060003329068,0.7494797999970615
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,14,20251030-121059,global,local,750,H,S,A,E,H-A.png,E-S.png,hH,sS,mask-2.png,mask-1.png,h,1,0.37669519998598844,none,-5,0,0.09981739998329431,0.10081169998738915,0.198499699938111,0.1995446999790147,0.7484245999949053
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,15,20251030-121104,local,local,750,S,H,E,E,E-S.png,E-H.png,sS,hH,mask-1.png,mask-3.png,s,1,0.6064693999942392,none,-5,0,0.09974419989157468,0.10019889997784048,0.20101219997741282,0.20052249997388572,0.7505896999500692
RSVPLG03,km,20251030-120918,1.0.1,20251023-100704,726,Introduction,T1,1,Automatic,main,16,20251030-121108,local,global,750,S,S,E,A,E-S.png,S-A.png,sS,sS,mask-4.png,mask-2.png,s,1,0.9353790000313893,none,-5,0,0.10042089992202818,0.10044239996932447,0.19896909990347922,0.20131630008108914,0.7489501999225467
RSVPLG03,km,20251030-121137,1.0.1,20251023-100704,726,Practice,T1,1,Automatic,main,1,20251030-121203,local,global,750,S,H,A,A,A-S.png,H-A.png,sS,hH,mask-2.png,mask-3.png,s,1,0.5960651000496,none,-5,0,0.0408375000115484,0.05010299989953637,0.09077320003416389,0.10082439996767789,0.741567200049758
RSVPLG03,km,20251030-121137,1.0.1,20251023-100704,726,Practice,T1,1,Automatic,main,2,20251030-121208,local,local,750,H,H,E,E,E-H.png,E-H.png,hH,hH,mask-4.png,mask-4.png,h,1,0.4338434999808669,none,-5,0,0.050336700049228966,0.04970139998476952,0.10020090010948479,0.09952990000601858,0.7523664000909775
RSVPLG03,km,20251030-121137,1.0.1,20251023-100704,726,Practice,T1,1,Automatic,main,3,20251030-121212,global,local,750,H,H,A,A,H-A.png,A-H.png,hH,hH,mask-2.png,mask-1.png,h,1,0.4831978000001982,none,-5,0,0.05092980002518743,0.04949650005437434,0.10073170007672161,0.0992975999834016,0.7512086000060663
RSVPLG03,km,20251030-121137,1.0.1,20251023-100704,726,Practice,T1,1,Automatic,main,4,20251030-121217,global,local,300,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-2.png,mask-3.png,s,1,0.5039655999280512,none,-5,0,0.049794800113886595,0.04992390004917979,0.10037600004579872,0.099565300042741,0.3003496000310406
RSVPLG03,km,20251030-121137,1.0.1,20251023-100704,726,Practice,T1,1,Automatic,main,5,20251030-121221,local,global,300,S,S,A,E,A-S.png,S-E.png,sS,sS,mask-2.png,mask-2.png,s,1,0.6507669000420719,none,-5,0,0.04964690003544092,0.0487353999633342,0.09983149997424334,0.09853089996613562,0.3013902000384405
RSVPLG03,km,20251030-121137,1.0.1,20251023-100704,726,Practice,T1,1,Automatic,main,6,20251030-121225,global,global,300,H,H,E,E,H-E.png,H-E.png,hH,hH,mask-4.png,mask-1.png,h,1,0.5174454000080004,none,-5,0,0.04968269995879382,0.04935079999268055,0.09952239994890988,0.09911609999835491,0.29959960002452135
RSVPLG03,km,20251030-121137,1.0.1,20251023-100704,726,Practice,T1,1,Automatic,main,7,20251030-121229,global,global,750,S,H,E,A,S-E.png,H-A.png,sS,hH,mask-4.png,mask-1.png,s,1,0.38507139997091144,none,-5,0,0.049431500025093555,0.05065200000535697,0.09829730005003512,0.10006790002807975,0.7492996000219136
