exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,1,20260310-100935,local,global,750,S,S,A,E,A-S.png,S-E.png,sS,sS,mask-1.png,mask-2.png,s,1,2.8228185998741537,none,-5,0,0.09746980015188456,0.09467499982565641,0.19983049994334579,0.1978851999156177,0.7508104001171887
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,2,20260310-100942,global,global,750,H,H,A,E,H-A.png,H-E.png,hH,hH,mask-4.png,mask-2.png,h,1,2.4897032000590116,none,-5,0,0.09799590008333325,0.09539850009605289,0.20106499991379678,0.1990639001596719,0.7511104999575764
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,3,20260310-100949,global,local,750,S,S,A,A,S-A.png,A-S.png,sS,sS,mask-1.png,mask-3.png,s,1,1.7195561998523772,none,-5,0,0.09811979997903109,0.09805099992081523,0.20120270014740527,0.2002008999697864,0.7495502000674605
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,4,20260310-100955,local,local,750,H,S,E,A,E-H.png,A-S.png,hH,sS,mask-3.png,mask-2.png,h,1,1.0551145998761058,none,-5,0,0.09693249990232289,0.09727840009145439,0.19927549990825355,0.2004893000703305,0.7477628998458385
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,5,20260310-101000,global,local,750,S,S,E,A,S-E.png,A-S.png,sS,sS,mask-1.png,mask-3.png,s,1,0.8355390999931842,none,-5,0,0.09718000004068017,0.09535499988123775,0.19945820001885295,0.19771089986898005,0.7511867000721395
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,6,20260310-101005,local,local,750,H,S,A,A,A-H.png,A-S.png,hH,sS,mask-4.png,mask-1.png,h,1,0.7796070999465883,none,-5,0,0.0973896998912096,0.0972382000181824,0.20000479998998344,0.1999132998753339,0.7486276000272483
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,7,20260310-101010,local,global,750,H,S,A,A,A-H.png,S-A.png,hH,sS,mask-3.png,mask-4.png,h,1,0.830478300107643,none,-5,0,0.09771859995089471,0.09694459987804294,0.19820769992657006,0.2002451999578625,0.7489052000455558
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,8,20260310-101015,global,local,750,S,S,E,A,S-E.png,A-S.png,sS,sS,mask-1.png,mask-4.png,s,1,0.8755681000184268,none,-5,0,0.09727400005795062,0.09495820011943579,0.2000712000299245,0.1980677000246942,0.7508594000246376
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,9,20260310-101020,local,local,750,S,H,E,E,E-S.png,E-H.png,sS,hH,mask-3.png,mask-4.png,s,1,1.4435064001008868,none,-5,0,0.09699470014311373,0.09587409999221563,0.20057740015909076,0.19812379986979067,0.7503709001466632
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,10,20260310-101026,global,global,750,H,H,E,A,H-E.png,H-A.png,hH,hH,mask-3.png,mask-4.png,h,1,1.1259082998149097,none,-5,0,0.09730780008248985,0.09659269987605512,0.19972170004621148,0.1995337000116706,0.7501223001163453
RSVPLG03,md,20260310-092244,1.0.2,20251105-084826,796,Introduction,T1,1,Automatic,main,11,20260310-101031,global,global,750,S,S,E,A,S-E.png,S-A.png,sS,sS,mask-2.png,mask-1.png,s,1,0.6877152000088245,none,-5,0,0.09750819997861981,0.09792719990946352,0.199155000038445,0.20050389994867146,0.7500657001510262
