exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,1,20251103-091937,local,local,750,H,H,A,A,A-H.png,A-H.png,hH,hH,mask-2.png,mask-3.png,h,1,6.881785799982026,none,-5,0,0.0986863998696208,0.09855129988864064,0.2017886999528855,0.20059489994309843,0.7511122999712825
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,2,20251103-091948,global,local,750,S,H,E,E,S-E.png,E-H.png,sS,hH,mask-2.png,mask-3.png,s,1,3.481660099932924,none,-5,0,0.09652539994567633,0.0973807000555098,0.19851140002720058,0.20115199987776577,0.7491800999268889
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,3,20251103-091955,local,global,750,S,S,E,E,E-S.png,S-E.png,sS,sS,mask-2.png,mask-2.png,s,1,1.5703241999726743,none,-5,0,0.09735880000516772,0.09738759999163449,0.20023049996234477,0.20025779982097447,0.7500146001111716
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,4,20251103-092001,global,global,750,H,H,A,E,H-A.png,H-E.png,hH,hH,mask-1.png,mask-2.png,h,1,1.5645751000847667,none,-5,0,0.09739090013317764,0.09647029987536371,0.19827450020238757,0.2004315999802202,0.7495783001650125
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,5,20251103-092007,global,global,750,S,H,A,E,S-A.png,H-E.png,sS,hH,mask-2.png,mask-4.png,s,1,1.914618100039661,none,-5,0,0.09602169995196164,0.09757949993945658,0.19905120017938316,0.1996313000563532,0.7497100001201034
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,6,20251103-092013,local,global,750,S,S,A,E,A-S.png,S-E.png,sS,sS,mask-4.png,mask-1.png,h,0,1.6009426999371499,none,-5,0,0.09756769984960556,0.0975494000595063,0.19843879994004965,0.2003409001044929,0.7499438999220729
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,7,20251103-092019,global,global,750,H,S,E,E,H-E.png,S-E.png,hH,sS,mask-2.png,mask-4.png,h,1,1.6346751998644322,none,-5,0,0.09575650002807379,0.09739320003427565,0.19962430000305176,0.20013689994812012,0.7499947000760585
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,8,20251103-092025,local,local,750,H,H,A,E,A-H.png,E-H.png,hH,hH,mask-2.png,mask-4.png,s,0,1.7602522000670433,none,-5,0,0.09738790011033416,0.0965442000888288,0.20006450009532273,0.19956330000422895,0.7502862999681383
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,9,20251103-092031,global,local,750,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-4.png,mask-3.png,s,1,0.9253076000604779,none,-5,0,0.09681929997168481,0.09741090005263686,0.2006423999555409,0.2003043000586331,0.7505856999196112
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,10,20251103-092036,local,global,750,H,S,A,A,A-H.png,S-A.png,hH,sS,mask-3.png,mask-4.png,h,1,1.1895739999599755,none,-5,0,0.09888419997878373,0.09906730009242892,0.1999061000533402,0.20109370001591742,0.7498542999383062
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,11,20251103-092041,local,local,750,H,H,E,E,E-H.png,E-H.png,hH,hH,mask-3.png,mask-1.png,s,0,0.8250589999370277,none,-5,0,0.09743429999798536,0.098740000044927,0.19920230004936457,0.20172860007733107,0.7489529999438673
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,12,20251103-092046,local,global,750,H,H,E,A,E-H.png,H-A.png,hH,hH,mask-1.png,mask-2.png,h,1,1.0352960999589413,none,-5,0,0.09845390007831156,0.09657560009509325,0.20051610004156828,0.1994993998669088,0.7510880001354963
RSVPLG03,TM,20251103-090354,1.0.1,20251020-085245,729,Introduction,T1,1,Automatic,main,13,20251103-092051,global,local,750,S,H,A,A,S-A.png,A-H.png,sS,hH,mask-4.png,mask-1.png,s,1,1.2741682999767363,none,-5,0,0.09754440002143383,0.09757360001094639,0.1981742000207305,0.1986285001039505,0.7498983999248594
