exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,1,20251103-111724,local,global,750,H,H,E,E,E-H.png,H-E.png,hH,hH,mask-2.png,mask-1.png,h,1,4.7422508001327515,none,-5,0,0.09344099997542799,0.09760629991069436,0.19621070008724928,0.19994629989378154,0.7447854001075029
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,2,20251103-111733,global,global,750,S,S,A,E,S-A.png,S-E.png,sS,sS,mask-4.png,mask-2.png,s,1,0.8322993000037968,none,-5,0,0.09718289994634688,0.09732990013435483,0.19815600011497736,0.1990974999498576,0.7480574999935925
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,3,20251103-111738,local,global,750,H,S,E,A,E-H.png,S-A.png,hH,sS,mask-4.png,mask-3.png,h,1,2.0132081999909133,none,-5,0,0.09752809978090227,0.09717789990827441,0.1997837999369949,0.1997020998969674,0.7493461999110878
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,4,20251103-111745,local,local,750,H,H,E,A,E-H.png,A-H.png,hH,hH,mask-1.png,mask-4.png,h,1,1.3990426999516785,none,-5,0,0.09636610001325607,0.09725359990261495,0.19845489994622767,0.20010959985665977,0.7494638999924064
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,5,20251103-111750,local,local,750,H,H,A,A,A-H.png,A-H.png,hH,hH,mask-4.png,mask-4.png,h,1,1.1265382999554276,none,-5,0,0.09555090009234846,0.09844089997932315,0.1995125999674201,0.2012855000793934,0.7481281999498606
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,6,20251103-111755,local,local,750,H,S,A,A,A-H.png,A-S.png,hH,sS,mask-4.png,mask-2.png,h,1,0.6736226000357419,none,-5,0,0.0947576998732984,0.09760809992440045,0.19897469994612038,0.19970929995179176,0.7484875998925418
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,7,20251103-111800,global,local,750,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-4.png,mask-4.png,s,1,0.8354401998221874,none,-5,0,0.09676780016161501,0.09676040010526776,0.20096369995735586,0.20014420012012124,0.7496096000541002
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,8,20251103-111805,global,local,750,S,S,E,A,S-E.png,A-S.png,sS,sS,mask-4.png,mask-3.png,s,1,0.936881999950856,none,-5,0,0.09855960006825626,0.09568030014634132,0.20004250016063452,0.19966260017827153,0.7507136999629438
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,9,20251103-111810,global,local,750,S,H,A,E,S-A.png,E-H.png,sS,hH,mask-2.png,mask-3.png,s,1,0.826314700068906,none,-5,0,0.09754090011119843,0.09583360003307462,0.199680499965325,0.20004400005564094,0.7502437999937683
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,10,20251103-111815,global,global,750,S,S,E,E,S-E.png,S-E.png,sS,sS,mask-1.png,mask-3.png,s,1,1.1906316000968218,none,-5,0,0.0975109999999404,0.09753750008530915,0.19958480005152524,0.1995075000450015,0.7496732999570668
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,11,20251103-111821,local,global,750,S,H,A,E,A-S.png,H-E.png,sS,hH,mask-3.png,mask-3.png,s,1,1.2101656999439,none,-5,0,0.0975524999666959,0.09838770003989339,0.20055609988048673,0.20142140006646514,0.7487746998667717
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,12,20251103-111826,global,global,750,S,H,E,A,S-E.png,H-A.png,sS,hH,mask-1.png,mask-4.png,s,1,0.810451400000602,none,-5,0,0.0983942998573184,0.09736639983020723,0.199258100008592,0.20008829981088638,0.7485839000437409
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,13,20251103-111831,global,global,750,H,H,A,E,H-A.png,H-E.png,hH,hH,mask-1.png,mask-4.png,h,1,1.1558929001912475,none,-5,0,0.0963954001199454,0.09745820006355643,0.19926190003752708,0.19935260014608502,0.7492283000610769
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,14,20251103-111836,local,global,750,H,S,A,A,A-H.png,S-A.png,hH,sS,mask-4.png,mask-2.png,h,1,1.7105167999397963,none,-5,0,0.09732930012978613,0.09744689986109734,0.19943400006741285,0.19846049998886883,0.7498108001891524
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,15,20251103-111842,global,local,750,S,S,E,E,S-E.png,E-S.png,sS,sS,mask-3.png,mask-2.png,s,1,1.2387215998023748,none,-5,0,0.09718129993416369,0.09654200007207692,0.20007919985800982,0.19844279997050762,0.7500942999031395
RSVPLG03,TM,20251103-110807,1.0.1,20251020-085245,731,Introduction,T1,1,Automatic,main,16,20251103-111848,local,local,750,H,H,A,A,A-H.png,A-H.png,hH,hH,mask-2.png,mask-2.png,h,1,1.2035586000420153,none,-5,0,0.09695159993134439,0.0975447001401335,0.19976369990035892,0.20065369992516935,0.748133699875325
RSVPLG03,TM,20251103-111936,1.0.1,20251020-085245,731,Practice,T1,1,Automatic,main,1,20251103-112030,global,local,300,H,S,A,A,H-A.png,A-S.png,hH,sS,mask-2.png,mask-4.png,h,1,1.3084499000106007,none,-5,0,0.040015900041908026,0.04772830009460449,0.09294499992392957,0.0997828000690788,0.29312469996511936
RSVPLG03,TM,20251103-111936,1.0.1,20251020-085245,731,Practice,T1,1,Automatic,main,2,20251103-112035,global,local,300,H,S,E,A,H-E.png,A-S.png,hH,sS,mask-2.png,mask-4.png,h,1,1.244420100003481,none,-5,0,0.04803050006739795,0.04809330007992685,0.10146710020489991,0.10083340015262365,0.30045820004306734
RSVPLG03,TM,20251103-111936,1.0.1,20251020-085245,731,Practice,T1,1,Automatic,main,3,20251103-112040,local,local,300,S,S,A,E,A-S.png,E-S.png,sS,sS,mask-2.png,mask-3.png,s,1,0.992161100031808,none,-5,0,0.04721260000951588,0.0461712998803705,0.10121039999648929,0.1001601000316441,0.3013212000951171
RSVPLG03,TM,20251103-111936,1.0.1,20251020-085245,731,Practice,T1,1,Automatic,main,4,20251103-112045,local,local,750,S,S,E,E,E-S.png,E-S.png,sS,sS,mask-2.png,mask-2.png,s,1,1.2149139000102878,none,-5,0,0.047680299961939454,0.04777379985898733,0.09990769997239113,0.09996469994075596,0.7497753000352532
