exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,cs,20251029-105610,1.0.1,20251020-085245,723,Introduction,T1,1,Automatic,main,1,20251029-105647,local,local,750,H,H,A,E,A-H.png,E-H.png,hH,hH,mask-1.png,mask-3.png,h,1,9.54769789997954,none,-5,0,0.09627339988946915,0.09745709993876517,0.19866199989337474,0.2005125000141561,0.7488945999648422
RSVPLG03,cs,20251029-105610,1.0.1,20251020-085245,723,Introduction,T1,1,Automatic,main,2,20251029-105701,global,local,750,H,S,A,A,H-A.png,A-S.png,hH,sS,mask-2.png,mask-1.png,s,0,1.3164284999947995,none,-5,0,0.09845010004937649,0.09754039999097586,0.20191639999393374,0.1995520000346005,0.7516926999669522
RSVPLG03,cs,20251029-105610,1.0.1,20251020-085245,723,Introduction,T1,1,Automatic,main,3,20251029-105707,global,global,750,S,H,A,A,S-A.png,H-A.png,sS,hH,mask-1.png,mask-4.png,h,0,1.5863648999948055,none,-5,0,0.09805919998325408,0.09739020001143217,0.20099199994001538,0.20027470006607473,0.7510796999558806
RSVPLG03,cs,20251029-105610,1.0.1,20251020-085245,723,Introduction,T1,1,Automatic,main,4,20251029-105712,global,global,750,S,H,E,E,S-E.png,H-E.png,sS,hH,mask-1.png,mask-1.png,s,1,6.560362300020643,none,-5,0,0.09843410004395992,0.09755240008234978,0.2003204000648111,0.19939890003297478,0.7516360000008717
RSVPLG03,cs,20251029-105610,1.0.1,20251020-085245,723,Introduction,T1,1,Automatic,main,5,20251029-105723,local,local,750,H,H,A,A,A-H.png,A-H.png,hH,hH,mask-3.png,mask-4.png,h,1,0.8324153000721708,none,-5,0,0.09744110004976392,0.0973863999824971,0.2003203999483958,0.19936680002138019,0.7506534999702126
RSVPLG03,cs,20251029-105610,1.0.1,20251020-085245,723,Introduction,T1,1,Automatic,main,6,20251029-105728,global,local,750,H,H,A,E,H-A.png,E-H.png,hH,hH,mask-1.png,mask-4.png,h,1,1.145591799984686,none,-5,0,0.09923109994269907,0.09731760004069656,0.201491899904795,0.2010213000467047,0.7510500999633223
RSVPLG03,cs,20251029-105610,1.0.1,20251020-085245,723,Introduction,T1,1,Automatic,main,7,20251029-105733,local,global,750,S,S,A,A,A-S.png,S-A.png,sS,sS,mask-3.png,mask-1.png,s,1,0.5704103000462055,none,-5,0,0.0974559000460431,0.09678359993267804,0.20038190006744117,0.199767499929294,0.750284600071609
RSVPLG03,cs,20251029-105610,1.0.1,20251020-085245,723,Introduction,T1,1,Automatic,main,8,20251029-105738,local,local,750,H,H,E,A,E-H.png,A-H.png,hH,hH,mask-2.png,mask-4.png,none,-6,0,none,-5,0,0.09752270008902997,0.0977901000296697,0.19957900000736117,0.19794139999430627,0.7499572000233456
RSVPLG03,cs,20251029-105629,1.0.1,20251020-085245,723,Practice,T1,1,Automatic,main,1,20251029-105805,local,local,750,H,H,A,A,A-H.png,A-H.png,hH,hH,mask-4.png,mask-3.png,h,1,1.0039652000414208,none,-5,0,0.04752090002875775,0.04543589998502284,0.09953350003343076,0.09892369993031025,0.7489818000467494
RSVPLG03,cs,20251029-105629,1.0.1,20251020-085245,723,Practice,T1,1,Automatic,main,2,20251029-105810,global,local,300,H,H,A,A,H-A.png,A-H.png,hH,hH,mask-1.png,mask-1.png,h,1,1.0297587000532076,none,-5,0,0.0463226999854669,0.04582470003515482,0.0985879999352619,0.09982220001984388,0.2987918999278918
