exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,1,20251021-101802,local,local,750,S,H,A,E,A-S.png,E-H.png,sS,hH,mask-2.png,mask-1.png,h,0,29.997783199883997,none,-5,0,0.0915121000725776,0.09607460000552237,0.1924318999517709,0.20013820007443428,0.7435381999239326
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,2,20251021-101836,global,global,750,H,H,A,E,H-A.png,H-E.png,hH,hH,mask-3.png,mask-2.png,h,1,9.250167499994859,none,-5,0,0.09859029995277524,0.09750659996643662,0.20017269998788834,0.19940369995310903,0.7501389000099152
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,3,20251021-101849,global,local,750,S,H,E,E,S-E.png,E-H.png,sS,hH,mask-2.png,mask-4.png,h,0,5.111957299988717,none,-5,0,0.09663500008173287,0.0974055000115186,0.19976410013623536,0.19815169996581972,0.7500723002012819
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,4,20251021-101858,local,local,750,S,S,E,E,E-S.png,E-S.png,sS,sS,mask-3.png,mask-3.png,s,1,2.1082544999662787,none,-5,0,0.09636979992501438,0.09742040000855923,0.19842779985629022,0.19831329979933798,0.7497886000201106
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,5,20251021-101905,local,global,750,S,H,A,A,A-S.png,H-A.png,sS,hH,mask-1.png,mask-2.png,s,1,2.391788699897006,none,-5,0,0.09753859997726977,0.0973853999748826,0.19843270001001656,0.1992794000543654,0.7498926999978721
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,6,20251021-101911,local,global,750,H,S,A,A,A-H.png,S-A.png,hH,sS,mask-2.png,mask-3.png,h,1,1.1874198999721557,none,-5,0,0.09747399995103478,0.09737350000068545,0.20043189986608922,0.20035580010153353,0.7497792998328805
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,7,20251021-101917,global,local,750,S,S,A,E,S-A.png,E-S.png,sS,sS,mask-2.png,mask-3.png,s,1,1.4300778999458998,none,-5,0,0.09638749994337559,0.09837709995917976,0.19749549985863268,0.19927829992957413,0.7485118999611586
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,8,20251021-101922,global,local,750,H,S,E,E,H-E.png,E-S.png,hH,sS,mask-2.png,mask-4.png,h,1,3.8828271999955177,none,-5,0,0.09778929990716279,0.09762070002034307,0.20051909983158112,0.19952020002529025,0.7496726999524981
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,9,20251021-101930,global,local,750,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-4.png,mask-4.png,s,1,2.048654700163752,none,-5,0,0.09834810020402074,0.09735629986971617,0.20021040015853941,0.20006549987010658,0.74896110012196
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,10,20251021-101936,local,global,750,S,S,A,E,A-S.png,S-E.png,sS,sS,mask-4.png,mask-2.png,s,1,2.148235100088641,none,-5,0,0.09811539994552732,0.09510550019331276,0.198197599966079,0.19943080004304647,0.7503250997979194
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,11,20251021-101943,local,local,750,S,H,E,A,E-S.png,A-H.png,sS,hH,mask-3.png,mask-1.png,s,1,1.3967888001352549,none,-5,0,0.09839419997297227,0.09719379991292953,0.19960659998469055,0.2012632000260055,0.7489567999728024
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,12,20251021-101948,global,global,750,S,S,A,E,S-A.png,S-E.png,sS,sS,mask-2.png,mask-4.png,s,1,5.67783739999868,none,-5,0,0.09553849999792874,0.09757590014487505,0.19969270005822182,0.19963570008985698,0.74846430006437
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,13,20251021-101958,local,global,750,S,H,A,A,A-S.png,H-A.png,sS,hH,mask-2.png,mask-2.png,s,1,1.4994791001081467,none,-5,0,0.09551879996433854,0.09639349998906255,0.19930449989624321,0.19927769992500544,0.7490201999899
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,14,20251021-102004,global,global,750,H,S,A,A,H-A.png,S-A.png,hH,sS,mask-4.png,mask-3.png,h,1,2.482337199850008,none,-5,0,0.09631639998406172,0.09742069989442825,0.19816070003435016,0.2003049999475479,0.7477599000558257
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,15,20251021-102011,local,local,750,S,S,E,E,E-S.png,E-S.png,sS,sS,mask-2.png,mask-2.png,s,1,2.1737606001552194,none,-5,0,0.0975730000063777,0.09740499989129603,0.19986970000900328,0.19836189993657172,0.7503208999987692
RSVPLG03,md,20251021-095245,1.0.1,20251020-085245,705,Introduction,T1,1,Automatic,main,16,20251021-102017,global,global,750,H,S,E,E,H-E.png,S-E.png,hH,sS,mask-1.png,mask-4.png,h,1,1.3508308997843415,none,-5,0,0.09492499986663461,0.09752730000764132,0.19807309983298182,0.19949909998103976,0.7484204999636859
RSVPLG03,md,20251021-102124,1.0.1,20251020-085245,705,Practice,T1,1,Automatic,main,1,20251021-102145,local,global,750,H,H,E,E,E-H.png,H-E.png,hH,hH,mask-2.png,mask-4.png,h,1,0.9377726998645812,none,-5,0,0.04113499983213842,0.047514700097963214,0.09427729994058609,0.09959349990822375,0.7449485999532044
