exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,1,20251028-122037,global,local,750,S,S,E,E,S-E.png,E-S.png,sS,sS,mask-1.png,mask-2.png,s,1,1.972731800051406,none,-5,0,0.09038349997717887,0.09761419997084886,0.19326829991769046,0.2007580999052152,0.7416549000190571
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,2,20251028-122043,global,global,750,H,H,E,A,H-E.png,H-A.png,hH,hH,mask-2.png,mask-1.png,h,1,0.5232857000082731,none,-5,0,0.0982180000282824,0.09691029996611178,0.2003332000458613,0.19997229997534305,0.7504625000292435
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,3,20251028-122048,local,local,750,H,H,A,E,A-H.png,E-H.png,hH,hH,mask-4.png,mask-2.png,h,1,0.33592400001361966,none,-5,0,0.09756420005578548,0.09756959998048842,0.2006062000291422,0.19859739998355508,0.7501358999870718
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,4,20251028-122053,local,global,750,H,S,A,E,A-H.png,S-E.png,hH,sS,mask-2.png,mask-2.png,h,1,0.4533459999365732,none,-5,0,0.09645890002138913,0.09847389999777079,0.20038519997615367,0.19938949996139854,0.749131300020963
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,5,20251028-122057,global,local,750,H,H,A,A,H-A.png,A-H.png,hH,hH,mask-3.png,mask-2.png,h,1,0.5024315000046045,none,-5,0,0.09757400001399219,0.09736460004933178,0.19961190002504736,0.1992088999832049,0.7488490999676287
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,6,20251028-122102,global,global,750,S,H,E,E,S-E.png,H-E.png,sS,hH,mask-2.png,mask-3.png,s,1,0.3364039999432862,none,-5,0,0.09646310005337,0.09742060001008213,0.19920430006459355,0.2002640999853611,0.7495732000097632
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,7,20251028-122107,local,local,750,H,S,E,A,E-H.png,A-S.png,hH,sS,mask-2.png,mask-3.png,h,1,0.23754360002931207,none,-5,0,0.09737199998926371,0.09811130003072321,0.20126530004199594,0.19996560004074126,0.7503250000299886
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,8,20251028-122111,local,global,750,S,S,A,A,A-S.png,S-A.png,sS,sS,mask-3.png,mask-3.png,s,1,0.14978470001369715,none,-5,0,0.09489089995622635,0.09708830004092306,0.1978298999601975,0.19998789997771382,0.7478220999473706
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,9,20251028-122115,global,global,750,S,H,A,E,S-A.png,H-E.png,sS,hH,mask-3.png,mask-3.png,s,1,0.4116300999885425,none,-5,0,0.09938390005845577,0.09884710004553199,0.20025550003629178,0.2007721000118181,0.7487781000090763
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,10,20251028-122120,local,global,750,S,S,A,A,A-S.png,S-A.png,sS,sS,mask-1.png,mask-2.png,s,1,1.0502410000190139,none,-5,0,0.09845609997864813,0.09675649995915592,0.20130820001941174,0.19972469995263964,0.7496467999881133
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,11,20251028-122125,local,global,750,S,H,E,E,E-S.png,H-E.png,sS,hH,mask-1.png,mask-1.png,s,1,0.9854781999019906,none,-5,0,0.09846420004032552,0.09740809991490096,0.20031660003587604,0.20037709991447628,0.7491820000577718
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,12,20251028-122131,local,local,750,S,S,A,A,A-S.png,A-S.png,sS,sS,mask-2.png,mask-2.png,s,1,0.48005770007148385,none,-5,0,0.09746920003090054,0.097610600059852,0.19963440007995814,0.20057260000612587,0.7489452000008896
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,13,20251028-122135,global,local,750,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-2.png,mask-3.png,s,1,0.41201800003182143,none,-5,0,0.09762609994504601,0.09759040002245456,0.1987673999974504,0.19962369999848306,0.7482396999839693
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,14,20251028-122140,local,local,750,S,S,A,E,A-S.png,E-S.png,sS,sS,mask-3.png,mask-3.png,s,1,0.5088564000325277,none,-5,0,0.09858649992384017,0.09757059998810291,0.20137019990943372,0.19960010005161166,0.7493468999164179
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,15,20251028-122145,global,local,750,S,S,E,A,S-E.png,A-S.png,sS,sS,mask-1.png,mask-3.png,s,1,0.3029398999642581,none,-5,0,0.09782469994388521,0.09847620001528412,0.19995729997754097,0.201329099945724,0.7487116999691352
RSVPLG03,sg,20251028-121937,1.0.1,20251020-085245,720,Introduction,T1,1,Automatic,main,16,20251028-122149,global,global,750,S,S,A,A,S-A.png,S-A.png,sS,sS,mask-3.png,mask-4.png,s,1,0.3187945999670774,none,-5,0,0.09754380001686513,0.09754450002219528,0.20061689999420196,0.19957840000279248,0.7499552000081167
RSVPLG03,sg,20251028-122211,1.0.1,20251020-085245,720,Practice,T1,1,Automatic,main,1,20251028-122229,global,local,300,H,S,A,A,H-A.png,A-S.png,hH,sS,mask-3.png,mask-4.png,h,1,1.148641400039196,none,-5,0,0.04213400010485202,0.04869620001409203,0.09434569999575615,0.10075959993992001,0.29408960009459406
RSVPLG03,sg,20251028-122211,1.0.1,20251020-085245,720,Practice,T1,1,Automatic,main,2,20251028-122234,local,local,750,H,S,A,A,A-H.png,A-S.png,hH,sS,mask-1.png,mask-1.png,h,1,0.47472379996906966,none,-5,0,0.047560399980284274,0.04858680011238903,0.0991097999503836,0.09947320003993809,0.7495601999107748
RSVPLG03,sg,20251028-122211,1.0.1,20251020-085245,720,Practice,T1,1,Automatic,main,3,20251028-122239,local,local,300,H,S,A,A,A-H.png,A-S.png,hH,sS,mask-3.png,mask-3.png,h,1,0.5439102000091225,none,-5,0,0.04752540006302297,0.04935949994251132,0.10154189995955676,0.10036959999706596,0.2998611000366509
RSVPLG03,sg,20251028-122211,1.0.1,20251020-085245,720,Practice,T1,1,Automatic,main,4,20251028-122243,global,global,750,S,H,E,E,S-E.png,H-E.png,sS,hH,mask-4.png,mask-2.png,s,1,0.21633279998786747,none,-5,0,0.047518700012005866,0.048590100021101534,0.10067620000336319,0.10063560004346073,0.7498326000059023
RSVPLG03,sg,20251028-122211,1.0.1,20251020-085245,720,Practice,T1,1,Automatic,main,5,20251028-122247,global,local,750,H,H,A,A,H-A.png,A-H.png,hH,hH,mask-3.png,mask-2.png,h,1,0.417010800098069,none,-5,0,0.04751330008730292,0.04723480006214231,0.09956880006939173,0.09822330006863922,0.7513935000170022
RSVPLG03,sg,20251028-122211,1.0.1,20251020-085245,720,Practice,T1,1,Automatic,main,6,20251028-122252,global,local,750,H,H,E,A,H-E.png,A-H.png,hH,hH,mask-2.png,mask-3.png,h,1,0.4242642999161035,none,-5,0,0.04665819997899234,0.04751219996251166,0.09976969996932894,0.10056220006663352,0.7503005999606103
