exp,exp_initials,runtime,ver,modtime,sub,blocktype,targets,cuetype,mode,trialtype,trial,trialtime,t1_level,t2_level,t2_lag,t1,t2,distractor1,distractor2,stimfile1,stimfile2,t1_corr,t2_corr,maskfile1,maskfile2,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,t1_dur,t2_dur,t1mask_soa,t2mask_soa,t1t2_soa
RSVPLG03,cs,20251105-105643,1.0.2,20251105-084826,737,Introduction,T1,1,Automatic,main,1,20251105-105725,global,global,750,S,S,A,A,S-A.png,S-A.png,sS,sS,mask-4.png,mask-2.png,s,1,2.1003878000192344,none,-5,0,0.09200469986535609,0.09758010017685592,0.1939354999922216,0.19959380012005568,0.7449804998468608
RSVPLG03,cs,20251105-105643,1.0.2,20251105-084826,737,Introduction,T1,1,Automatic,main,2,20251105-105732,global,local,750,S,H,E,A,S-E.png,A-H.png,sS,hH,mask-1.png,mask-4.png,s,1,1.2504575001075864,none,-5,0,0.09756550006568432,0.09751069988124073,0.20071629993617535,0.19862659997306764,0.7523668000940233
RSVPLG03,cs,20251105-105643,1.0.2,20251105-084826,737,Introduction,T1,1,Automatic,main,3,20251105-105737,global,local,750,S,S,A,A,S-A.png,A-S.png,sS,sS,mask-4.png,mask-3.png,s,1,0.45466109993867576,none,-5,0,0.09805550007149577,0.09814140014350414,0.20086269988678396,0.2012987001799047,0.7512091998942196
RSVPLG03,cs,20251105-105643,1.0.2,20251105-084826,737,Introduction,T1,1,Automatic,main,4,20251105-105742,local,global,750,S,S,A,A,A-S.png,S-A.png,sS,sS,mask-3.png,mask-3.png,none,-6,0,none,-5,0,0.09757700003683567,0.09618130000308156,0.20035669999197125,0.20002129999920726,0.7528444000054151
RSVPLG03,cs,20251105-105659,1.0.2,20251105-084826,737,Practice,T1,1,Automatic,main,1,20251105-105817,global,local,750,H,H,E,E,H-E.png,E-H.png,hH,hH,mask-3.png,mask-1.png,h,1,0.9760074000805616,none,-5,0,0.047546799993142486,0.04781630006618798,0.09940800000913441,0.10262980009429157,0.7500724999699742
RSVPLG03,cs,20251105-105659,1.0.2,20251105-084826,737,Practice,T1,1,Automatic,main,2,20251105-105822,local,global,300,H,H,A,A,A-H.png,H-A.png,hH,hH,mask-4.png,mask-2.png,h,1,0.6106030000373721,none,-5,0,0.0467355998698622,0.047917400021106005,0.09957089996896684,0.09992619999684393,0.2994752998929471
RSVPLG03,cs,20251105-105659,1.0.2,20251105-084826,737,Practice,T1,1,Automatic,main,3,20251105-105826,local,local,300,H,S,A,A,A-H.png,A-S.png,hH,sS,mask-4.png,mask-2.png,h,1,0.5668615000322461,none,-5,0,0.04965080018155277,0.049280199920758605,0.10207640007138252,0.10185800003819168,0.3005912001244724
RSVPLG03,cs,20251105-105659,1.0.2,20251105-084826,737,Practice,T1,1,Automatic,main,4,20251105-105830,global,local,750,H,H,E,E,H-E.png,E-H.png,hH,hH,mask-2.png,mask-2.png,h,1,0.612266399897635,none,-5,0,0.048367599956691265,0.048988700145855546,0.10265420004725456,0.1016003000549972,0.7513280999846756
RSVPLG03,cs,20251105-105659,1.0.2,20251105-084826,737,Practice,T1,1,Automatic,main,5,20251105-105835,global,global,300,H,S,A,A,H-A.png,S-A.png,hH,sS,mask-4.png,mask-4.png,h,1,1.7269528000615537,none,-5,0,0.04736979980953038,0.04732390004210174,0.10062259994447231,0.10346880019642413,0.2992685998324305
RSVPLG03,cs,20251105-105659,1.0.2,20251105-084826,737,Practice,T1,1,Automatic,main,6,20251105-105841,local,global,750,H,S,A,E,A-H.png,S-E.png,hH,sS,mask-1.png,mask-3.png,h,1,0.6647665000054985,none,-5,0,0.048225800041109324,0.04760710010305047,0.10054360004141927,0.1008689000736922,0.7530362999532372
